id,M500,M1000,M1500,M2000,M2500,M3000,M3500,M4000,M4500,M5000
ST00010001,5,23,23,50,46,46,60,56,52,40
ST00010003,9,17,28,28,55,41,52,46,51,42
ST00010004,8,17,29,27,53,39,56,44,54,39
ST00010005,5,17,31,34,51,33,74,45,47,37
ST00010036,6,16,27,40,40,39,75,45,51,38
ST00010138,7,21,27,45,39,50,58,59,38,53
ST00010265,5,21,24,48,43,52,59,54,43,56
ST00010735,7,17,28,35,46,42,72,51,48,40
ST00010008,11,26,35,33,35,42,52,56,43,53
ST00010009,8,27,23,43,39,41,57,53,38,47
ST00010010,8,25,24,42,41,42,56,54,38,48
ST00010011,7,27,32,44,36,53,53,50,49,50
ST00010012,9,21,36,38,38,67,45,47,53,57
ST00010028,8,27,34,32,36,41,54,50,42,45
ST00010034,9,28,33,34,27,46,44,46,44,47
ST00010038,8,25,33,39,46,46,49,56,56,40
ST00010042,12,22,33,38,37,49,49,56,51,46
ST00010485,8,23,33,41,46,47,51,54,58,39
ST00010664,10,33,32,30,31,40,46,61,38,56
ST00010716,7,15,36,40,57,47,47,57,61,35
ST00010835,11,27,35,29,30,47,53,54,36,48
ST00010836,11,25,38,28,29,46,57,50,37,48
ST00010900,10,29,32,39,30,51,54,48,54,44
ST00010935,8,20,29,43,47,46,59,55,54,36
ST00010634,8,22,28,43,42,48,57,55,39,50
ST00010969,10,30,33,32,31,41,51,60,41,55
ST00011016,6,26,28,35,34,53,35,48,50,39
ST00000168,9,29,36,29,30,44,54,50,34,52
ST00000457,11,31,32,29,27,37,49,59,36,54
ST00000490,7,27,26,45,50,52,47,52,53,45
ST00010013,8,32,38,26,29,45,56,45,63,53
ST00010014,11,23,45,27,33,58,48,50,54,54
ST00010016,13,19,33,32,28,32,31,59,57,62
ST00010017,8,17,31,33,28,28,38,45,57,62
ST00010035,8,36,33,27,33,31,46,57,47,53
ST00010020,8,25,35,32,27,32,39,42,56,35
ST00010021,9,22,31,34,30,32,29,49,59,37
ST00010022,8,19,28,35,31,33,29,42,59,41
ST00010032,8,25,25,38,27,30,30,56,54,47
ST00010037,8,25,24,36,30,30,29,54,55,56
ST00010141,8,32,31,34,25,39,40,63,64,56
ST00010143,9,17,29,38,27,24,40,48,61,66
ST00010170,14,26,35,27,31,29,46,58,59,57
ST00010171,13,26,36,27,31,28,46,59,58,57
ST00010172,12,27,36,26,32,27,47,58,57,57
ST00010173,10,24,27,36,26,27,44,51,77,52
ST00010175,13,24,31,32,27,26,43,51,67,58
ST00010194,11,35,29,34,29,32,56,47,64,56
ST00010302,11,24,30,27,29,33,31,57,55,57
ST00010303,11,25,32,27,31,31,28,62,52,62
ST00010467,11,35,31,22,34,31,43,61,46,57
ST00010468,12,34,32,23,31,31,43,60,48,57
ST00010562,8,20,23,35,28,37,32,48,67,59
ST00010600,8,22,20,39,28,29,37,49,67,60
ST00010645,10,37,32,21,32,35,53,49,61,55
ST00010672,9,25,19,41,26,27,39,49,74,60
ST00010874,14,24,31,30,29,28,34,59,52,62
ST00010909,10,36,29,33,32,29,61,44,61,59
ST00010949,9,25,26,35,28,25,43,48,71,62
ST00011026,9,25,24,37,27,26,43,48,71,61
ST00010023,1,15,27,52,66,61,57,42,60,51
ST00010033,9,13,42,40,42,62,58,43,49,70
ST00010024,3,12,31,44,65,71,50,60,51,52
ST00010041,8,12,41,44,42,62,62,39,45,73
ST00010148,8,12,40,43,46,61,62,40,45,71
ST00010197,7,17,36,47,43,64,55,38,51,67
ST00010513,1,12,24,61,66,58,59,44,56,54
ST00010530,2,12,32,37,70,68,62,57,47,48
ST00010851,8,16,37,45,41,65,56,39,49,67
ST00000491,3,12,31,45,63,72,49,60,52,53
ST00000631,9,21,39,37,41,56,48,46,59,66
ST00010019,5,16,30,30,27,66,69,85,66,61
ST00010025,3,12,30,29,47,61,73,80,61,60
ST00010553,7,19,21,40,53,68,58,65,60,56
ST00010776,6,21,24,35,56,65,57,66,55,64
ST00010026,5,14,26,28,50,61,67,66,57,57
ST00010027,7,12,18,33,53,61,65,69,58,71
ST00010043,10,11,16,31,48,59,64,71,67,76
ST00010044,9,13,19,26,43,58,64,69,76,73
ST00010125,9,15,14,26,48,61,66,74,77,67
ST00010126,9,16,14,24,50,59,68,74,79,64
ST00010039,7,16,18,26,41,60,66,76,89,59
ST00010426,7,14,16,34,37,60,64,64,71,61
ST00010571,4,16,21,33,39,63,61,66,64,46
ST00010572,8,13,21,27,43,63,62,68,64,62
ST00010601,3,12,25,42,55,65,71,50,57,61
ST00010613,7,15,15,29,51,59,62,85,80,54
ST00010642,8,12,21,25,37,59,66,69,75,73
ST00010768,10,15,11,31,49,61,62,74,68,74
ST00010919,7,15,19,25,43,60,62,67,85,71
ST00010906,8,13,13,39,53,61,66,76,63,62
ST00010922,2,11,28,38,58,62,66,57,51,62
ST00010936,3,14,16,42,60,53,77,71,56,63
ST00011036,7,12,22,28,47,68,62,81,76,49
