id,min,max,mean
17,-10,10,0.0
26,-10,0,-5.0
39,-10,0,-5.0
40,-10,0,-5.0
41,-10,10,0.0
75,-20,20,0.0
76,40,50,45.0
77,10,30,20.0
79,-10,0,-5.0
81,10,60,35.0
110,10,50,30.0
112,-20,20,0.0
118,-10,40,15.0
119,-10,20,5.0
120,-10,20,5.0
142,20,60,40.0
161,0,20,10.0
162,0,20,10.0
163,0,30,15.0
164,0,20,10.0
166,0,40,20.0
182,-30,30,0.0
184,20,40,30.0
185,-10,20,5.0
188,-10,10,0.0
189,-10,10,0.0
191,-10,10,0.0
195,-10,20,5.0
198,-30,10,-10.0
199,-30,10,-10.0
200,-30,10,-10.0
201,-30,10,-10.0
202,-10,10,0.0
203,-10,10,0.0
204,-40,0,-20.0
207,-30,10,-10.0
212,0,20,10.0
213,-10,0,-5.0
214,-10,0,-5.0
219,-10,0,-5.0
222,-10,0,-5.0
224,-10,0,-5.0
225,-10,40,15.0
228,-10,0,-5.0
231,-10,130,60.0
232,-10,0,-5.0
234,20,290,155.0
235,-10,0,-5.0
236,-10,0,-5.0
238,-10,20,5.0
239,-10,20,5.0
241,-10,60,25.0
242,-10,0,-5.0
246,-10,10,0.0
247,30,50,40.0
248,-10,0,-5.0
252,-10,0,-5.0
254,-30,10,-10.0
260,-30,0,-15.0
268,-10,0,-5.0
271,-40,10,-15.0
275,-10,10,0.0
276,-10,10,0.0
277,-10,10,0.0
280,-10,10,0.0
281,-10,10,0.0
287,-10,10,0.0
288,-10,10,0.0
289,-10,10,0.0
290,-10,10,0.0
291,-30,10,-10.0
292,-30,10,-10.0
293,-10,10,0.0
294,-10,10,0.0
296,-10,0,-5.0
326,-40,10,-15.0
327,-20,20,0.0
330,-10,10,0.0
332,-10,10,0.0
333,-30,10,-10.0
335,-10,10,0.0
336,-10,10,0.0
338,-10,10,0.0
341,-10,10,0.0
342,-10,0,-5.0
344,-40,10,-15.0
347,-30,10,-10.0
356,-10,20,5.0
357,-10,10,0.0
359,-20,20,0.0
360,-20,10,-5.0
364,-30,10,-10.0
366,-30,20,-5.0
367,-10,10,0.0
368,-10,0,-5.0
370,-10,10,0.0
372,-20,30,5.0
375,-10,10,0.0
376,-10,10,0.0
377,-10,10,0.0
380,-10,10,0.0
381,-10,10,0.0
382,-10,10,0.0
383,-10,10,0.0
384,-10,0,-5.0
386,-30,10,-10.0
387,-30,0,-15.0
388,-10,10,0.0
389,-30,10,-10.0
390,-10,0,-5.0
391,-40,0,-20.0
393,-10,0,-5.0
394,-20,30,5.0
396,-10,10,0.0
397,-10,10,0.0
398,-10,10,0.0
399,-10,10,0.0
400,-10,30,10.0
401,-10,30,10.0
408,-10,10,0.0
409,-10,20,5.0
416,-20,30,5.0
419,-10,10,0.0
421,-20,0,-10.0
422,-20,0,-10.0
432,-40,0,-20.0
433,-10,0,-5.0
434,-20,30,5.0
436,0,20,10.0
442,-30,0,-15.0
443,-30,0,-15.0
444,-30,0,-15.0
446,-20,10,-2.857142857142857
449,-20,0,-10.0
450,-20,0,-10.0
451,-20,0,-10.0
484,-20,40,10.0
486,-20,30,5.0
487,-20,10,-5.0
494,-10,0,-5.0
495,-10,0,-5.0
500,-20,10,-5.0
636,-10,0,-5.0
637,-10,0,-5.0
662,-10,30,10.0
663,-20,0,-10.0
664,-20,10,-5.0
665,-20,10,-5.0
666,-10,10,0.0
668,-10,10,0.0
671,-20,20,0.0
672,-20,0,-10.0
673,-20,0,-10.0
674,10,30,20.0
679,-20,20,0.0
684,10,50,30.0
686,-10,0,-5.0
