id,weight
17,9.86
26,9.35
39,2.61
40,2.48
41,3.03
75,1.14
76,6.71
77,7.28
79,4.09
81,9.96
110,3.15
112,9.04
118,6.07
119,2.86
120,1.4
142,4.19
161,1.31
162,1.23
163,1.23
164,1.26
166,1.01
182,7.4
184,4.77
185,3.33
188,2.85
189,3.09
191,6.76
195,6.46
198,10.33
199,10.0
200,10.01
201,10.39
202,10.58
203,10.46
204,8.86
207,10.18
212,1.18
213,0.89
214,0.89
219,0.42
222,0.53
224,0.93
225,0.63
228,0.34
231,0.24
232,0.61
234,0.17
235,0.0
236,0.82
238,0.64
239,7.98
241,0.56
242,0.86
246,0.6
247,3.8
248,0.92
252,0.63
254,3.32
260,3.76
268,4.53
271,2.25
275,5.41
276,3.88
277,4.36
280,2.87
281,3.59
287,7.8
288,8.91
289,9.2
290,9.54
291,10.08
292,9.39
293,7.59
294,6.01
296,8.72
326,2.3
327,16.98
330,8.0
332,10.09
333,6.93
335,6.71
336,7.4
338,3.88
341,8.61
342,8.98
344,9.36
347,9.76
356,10.59
357,10.06
359,15.43
360,15.46
364,9.83
366,10.05
367,9.44
368,5.35
370,6.36
372,16.36
375,7.34
376,8.35
377,5.39
380,5.17
381,4.46
382,5.7
383,5.13
384,8.66
386,7.62
387,6.97
388,7.3
389,9.53
390,1.32
391,8.92
393,3.84
394,16.36
396,7.65
397,6.53
398,9.04
399,8.18
400,4.74
401,4.71
408,4.77
409,4.44
416,16.57
419,0.87
421,3.98
422,4.21
432,8.81
433,8.27
434,15.87
436,2.39
442,0.7
443,0.67
444,0.67
446,6.31
449,4.94
450,4.51
451,5.37
484,15.66
486,16.26
487,15.44
494,1.26
495,1.09
500,8.25
636,2.57
637,1.88
662,2.3
663,4.68
664,6.35
665,4.45
666,4.84
668,5.35
671,16.18
672,3.91
673,17.08
674,2.98
679,3.75
684,1.24
686,6.65
687,8.09
689,1.2
690,1.14
691,0.99
747,10.25
748,3.88
764,3.96
780,0.69
781,0.51
782,0.48
784,0.66
812,0.0
825,3.92
826,1.78
847,12.5
848,12.37
849,12.47
850,12.56
851,12.57
852,12.58
855,12.09
856,11.58
857,11.62
860,7.92
861,6.39
862,6.72
863,7.36
864,7.35
865,8.11
866,8.12
869,4.19
870,4.79
871,3.09
872,5.6
874,5.75
875,4.08
876,6.33
883,3.63
884,0.36
885,2.26
886,1.88
889,1.22
890,1.22
892,10.21
893,4.72
894,4.3
895,16.59
896,7.67
897,7.23
898,7.7
899,8.24
900,5.25
905,16.89
906,1.12
907,16.71
913,5.27
1361,7.96
1362,6.41
1364,6.71
1365,6.78
1369,1.13
1370,6.03
1391,6.99
1392,5.09
1393,6.94
1395,3.64
1396,5.09
1402,12.02
1404,13.57
1405,12.84
1406,11.67
1412,4.65
1413,8.27
1415,4.3
1416,7.54
1417,4.08
1418,9.29
1419,5.29
1420,15.79
1423,0.6
1426,9.86
1428,5.79
1432,14.86
1433,13.34
1444,7.04
1445,5.39
1446,5.92
1448,8.26
1473,9.61
1474,8.71
1475,10.64
1477,11.74
1478,8.2
1479,12.68
1480,5.42
1481,6.21
1489,8.82
1491,6.4
1492,0.63
1503,12.41
1504,11.67
1506,0.61
1512,6.21
1513,6.41
