id,min,max,mean
2029,-20,10,-5.0
2030,-20,20,0.0
2141,10,60,35.0
2142,10,60,35.0
2143,10,90,50.0
2487,-20,20,0.0
2488,-10,10,0.0
2658,10,20,15.0
2817,90,110,100.0
2820,0,30,15.0
3088,40,60,50.0
3739,0,40,20.0
4309,10,60,35.0
4310,10,50,30.0
4311,10,80,45.0
5281,10,80,45.0
5288,-20,30,5.0
5289,-20,30,5.0
5403,10,30,20.0
5404,-10,10,0.0
5405,10,20,15.0
5460,-20,10,-5.0
5461,10,60,35.0
5512,10,90,50.0
5615,10,20,15.0
5616,10,20,15.0
5620,10,30,20.0
5823,10,60,35.0
6469,20,40,30.0
6470,10,20,15.0
6654,0,20,10.0
6741,20,40,30.0
8040,20,40,30.0
8153,-20,10,-5.0
8154,-20,10,-5.0
8155,-30,10,-10.0
8156,-30,30,0.0
9235,10,20,15.0
9238,40,60,50.0
9240,20,50,35.0
9241,0,60,30.0
9242,20,50,35.0
9246,-20,20,0.0
9249,40,70,55.0
9251,10,20,15.0
9253,0,30,15.0
9254,0,40,20.0
9255,20,50,35.0
9256,0,30,15.0
9258,20,40,30.0
9259,20,40,30.0
9262,40,60,50.0
9264,0,20,10.0
9266,20,40,30.0
9467,20,30,25.0
9513,10,20,15.0
9769,20,40,30.0
9839,0,30,15.0
10156,-20,20,0.0
