id,weight
2029,1.29
2030,1.28
2141,1.26
2142,1.2
2143,1.33
2487,0.96
2488,0.42
2658,1.22
2817,0.77
2820,1.56
3088,0.58
3739,0.53
4309,1.28
4310,1.3
4311,0.99
5281,0.97
5288,1.5
5289,1.52
5403,0.98
5404,1.19
5405,1.3
5460,0.49
5461,0.47
5512,0.82
5615,1.2
5616,0.65
5620,0.72
5823,1.2
6469,1.61
6470,1.21
6654,1.57
6741,1.42
8040,1.24
8153,0.1
8154,0.23
8155,0.18
8156,0.25
9235,0.91
9238,0.68
9240,1.07
9241,0.64
9242,1.15
9246,1.21
9249,0.36
9251,1.33
9253,1.44
9254,1.39
9255,0.99
9256,1.6
9258,1.46
9259,1.59
9262,0.46
9264,1.23
9266,1.54
9467,1.68
9513,0.49
9769,1.38
9839,1.53
10156,1.16
