id,min,max,mean
442,-30,0,-15.0
443,-30,0,-15.0
444,-30,0,-15.0
780,-30,0,-15.0
781,-10,0,-5.0
782,-10,0,-5.0
784,-20,0,-10.0
2328,-20,0,-10.0
2844,-20,0,-10.0
2880,-10,10,0.0
3441,-20,-10,-15.0
3837,-20,0,-10.0
4048,-10,30,10.0
4049,-10,0,-5.0
4050,-10,0,-5.0
4051,-20,0,-10.0
4119,-20,-10,-15.0
4895,-20,0,-10.0
5382,-10,-10,-10.0
5383,-10,-10,-10.0
5384,-20,-10,-15.0
5385,-10,0,-5.0
5386,-10,10,0.0
5387,-10,10,0.0
5388,-10,0,-5.0
5389,-10,0,-5.0
5390,-10,10,0.0
5391,-10,0,-5.0
5392,-10,0,-5.0
5433,-10,0,-5.0
9192,-30,0,-15.0
