id,min,max,mean
254,-30,10,-10.0
260,-30,0,-15.0
268,-10,0,-5.0
421,-20,0,-10.0
422,-20,0,-10.0
825,-20,0,-10.0
883,-20,-10,-15.0
884,-10,10,0.0
1883,-20,-10,-15.0
1884,-10,0,-5.0
1885,-10,0,-5.0
2434,-20,0,-10.0
2435,-10,0,-5.0
2436,-30,0,-15.0
2437,-10,0,-5.0
2438,-20,0,-10.0
2439,-20,0,-10.0
2524,-20,0,-10.0
2525,-30,0,-15.0
2861,-30,0,-15.0
2862,-20,0,-10.0
2863,-20,0,-10.0
2864,-20,-10,-15.0
3246,-30,0,-15.0
3247,-10,0,-5.0
3248,-10,0,-5.0
3249,-10,0,-5.0
3250,-10,0,-5.0
3251,-10,0,-5.0
3252,-10,0,-5.0
3253,-30,0,-15.0
3411,-20,0,-10.0
3819,-20,0,-10.0
3820,-20,10,-5.0
3841,-10,0,-5.0
3842,-10,0,-5.0
4024,-30,0,-15.0
4173,-10,0,-5.0
4178,-10,10,0.0
4227,-20,0,-10.0
4273,-10,0,-5.0
4274,-10,-10,-10.0
4275,-20,0,-10.0
4348,-20,0,-10.0
4349,-20,0,-10.0
5001,-30,0,-15.0
5018,-20,10,-5.0
5019,-10,0,-5.0
5020,-10,0,-5.0
5135,-10,0,-5.0
5142,-10,0,-5.0
5371,-10,0,-5.0
5372,-10,0,-5.0
5373,-10,0,-5.0
5375,-10,0,-5.0
5376,-10,0,-5.0
5447,-30,0,-15.0
5448,-30,0,-15.0
5449,-30,0,-15.0
5450,-10,0,-5.0
5464,-10,-10,-10.0
5897,-20,0,-10.0
5898,-20,0,-10.0
6471,-10,0,-5.0
6535,-30,10,-10.0
6536,-30,0,-15.0
6537,-10,0,-5.0
6539,-10,0,-5.0
6662,-20,0,-10.0
6663,-10,0,-5.0
6664,-10,0,-5.0
6665,-10,0,-5.0
6740,-10,0,-5.0
7612,-30,10,-10.0
7837,-10,0,-5.0
7838,-10,0,-5.0
9182,-10,10,0.0
9183,-10,10,0.0
9225,-30,0,-15.0
9226,-10,30,10.0
9463,-10,0,-5.0
9464,-10,0,-5.0
9499,-10,0,-5.0
9500,-30,0,-15.0
9546,-10,0,-5.0
9729,-30,0,-15.0
9730,-10,0,-5.0
9731,-10,40,15.0
9732,-10,10,0.0
9733,-10,0,-5.0
9734,-10,20,5.0
9735,-10,-10,-10.0
9736,-10,0,-5.0
9737,-10,0,-5.0
9745,-10,0,-5.0
9746,-10,0,-5.0
9747,-10,0,-5.0
9748,-10,0,-5.0
9749,-10,0,-5.0
9750,-20,0,-10.0
9800,-20,0,-10.0
9816,-20,0,-10.0
9821,-20,0,-10.0
9848,-10,0,-5.0
9849,-10,0,-5.0
9850,-30,0,-15.0
9854,-10,0,-5.0
9855,-10,10,0.0
9856,-10,0,-5.0
9917,-10,0,-5.0
9918,-10,0,-5.0
9919,-20,0,-10.0
9920,-20,0,-10.0
9921,-20,0,-10.0
9922,-20,-10,-15.0
9923,-20,0,-10.0
9924,-20,0,-10.0
9925,-10,0,-5.0
9926,-10,-10,-10.0
9927,-20,-10,-15.0
9928,-10,0,-5.0
9929,-10,0,-5.0
9930,-20,0,-10.0
9931,-10,0,-5.0
9932,-10,10,0.0
9933,-20,0,-10.0
10181,-20,0,-10.0
10182,-10,30,10.0
10183,-10,40,15.0
10184,-20,-10,-15.0
10441,-30,0,-15.0
10443,-30,0,-15.0
10444,-10,0,-5.0
