id,weight
254,3.32
260,3.76
268,4.53
421,3.98
422,4.21
825,3.92
883,3.63
884,0.36
1883,4.46
1884,4.05
1885,4.49
2434,4.42
2435,4.25
2436,2.4
2437,3.46
2438,4.41
2439,3.92
2524,3.65
2525,3.39
2861,2.39
2862,4.18
2863,4.34
2864,3.79
3246,2.45
3247,3.24
3248,4.38
3249,3.97
3250,4.41
3251,4.38
3252,4.32
3253,3.88
3411,4.13
3819,4.41
3820,0.22
3841,4.01
3842,3.93
4024,2.93
4173,0.36
4178,4.44
4227,4.77
4273,4.01
4274,3.99
4275,5.14
4348,0.35
4349,0.57
5001,3.0
5018,0.22
5019,4.53
5020,3.13
5135,4.42
5142,3.91
5371,4.45
5372,4.37
5373,3.83
5375,2.85
5376,4.73
5447,3.71
5448,2.5
5449,2.88
5450,4.09
5464,4.3
5897,4.28
5898,0.08
6471,3.96
6535,2.71
6536,1.86
6537,4.31
6539,4.12
6662,4.38
6663,4.69
6664,3.35
6665,3.51
6740,3.29
7612,3.63
7837,3.7
7838,3.45
9182,2.19
9183,2.17
9225,2.75
9226,1.71
9463,4.53
9464,4.07
9499,3.36
9500,3.02
9546,3.86
9729,3.57
9730,4.71
9731,2.32
9732,2.22
9733,4.58
9734,2.46
9735,3.88
9736,4.32
9737,4.71
9745,4.47
9746,4.14
9747,4.47
9748,3.99
9749,2.83
9750,4.15
9800,4.16
9816,4.7
9821,3.77
9848,4.62
9849,2.01
9850,3.61
9854,3.94
9855,2.02
9856,3.48
9917,4.59
9918,3.86
9919,3.73
9920,3.64
9921,3.38
9922,3.32
9923,4.34
9924,4.35
9925,3.85
9926,3.86
9927,3.36
9928,3.77
9929,3.16
9930,4.25
9931,3.59
9932,2.78
9933,4.25
10181,4.35
10182,2.13
10183,1.75
10184,4.58
10441,3.35
10443,2.69
10444,0.36
