id,min,max,mean
847,-20,20,0.0
848,-20,20,0.0
849,-20,20,0.0
850,-20,10,-5.0
851,-20,10,-5.0
852,-20,10,-5.0
855,-20,10,-5.0
856,-20,20,0.0
857,-20,0,-10.0
1402,-20,20,0.0
1404,-20,0,-10.0
1405,-70,0,-35.0
1406,-70,0,-35.0
1503,-20,20,0.0
1504,-20,0,-10.0
1558,-20,10,-5.0
1559,-20,30,5.0
1566,-10,20,5.0
1707,-20,-10,-15.0
1708,-20,-10,-15.0
1709,-20,10,-5.0
1710,-20,20,0.0
1711,-20,20,0.0
1714,-20,20,0.0
1721,-70,10,-30.0
1723,-70,0,-35.0
1817,-20,10,-5.0
2027,-70,10,-30.0
2028,-20,0,-10.0
2056,-20,10,-5.0
2057,-20,10,-5.0
2058,-20,0,-10.0
2062,-20,0,-10.0
2063,-20,0,-10.0
2064,-20,0,-10.0
2065,-20,20,0.0
2066,-20,20,0.0
2067,-20,10,-5.0
2068,-20,10,-5.0
2069,-20,0,-10.0
2070,-20,-10,-15.0
2071,-20,-10,-15.0
2193,-20,20,0.0
2384,-20,0,-10.0
2495,-20,30,5.0
2499,-20,0,-10.0
2509,-20,0,-10.0
2547,-20,0,-10.0
2571,-20,0,-10.0
2589,-20,20,0.0
2590,-20,20,0.0
2591,-20,0,-10.0
2593,-20,-10,-15.0
2595,-20,20,0.0
2596,-20,-10,-15.0
2661,-20,0,-10.0
2662,-70,0,-35.0
2663,-20,-10,-15.0
2664,-20,-10,-15.0
2673,-20,0,-10.0
2674,-20,0,-10.0
2675,-20,0,-10.0
2676,-20,-10,-15.0
2677,-20,0,-10.0
2678,-20,0,-10.0
2681,-10,-10,-10.0
2709,-20,0,-10.0
2710,-20,10,-5.0
2711,-20,-10,-15.0
2712,-20,-10,-15.0
2713,-20,-10,-15.0
2714,-20,-10,-15.0
2715,-20,10,-6.666666666666667
2716,-20,-10,-15.0
2717,-20,-10,-15.0
2718,-20,-10,-15.0
2719,-20,-10,-15.0
2720,-20,-10,-15.0
2851,-20,20,0.0
2852,-20,20,0.0
2853,-20,-10,-15.0
2854,-20,0,-10.0
2855,-20,0,-10.0
2856,-20,0,-10.0
2857,-20,10,-6.666666666666667
2858,-20,-10,-15.0
2859,-20,0,-10.0
2860,-20,20,0.0
2869,-20,10,-5.0
2870,-20,0,-10.0
2871,-20,10,-5.0
2872,-20,0,-10.0
2948,-20,0,-10.0
2949,-20,-10,-15.0
2969,-70,10,-30.0
2970,-20,0,-10.0
2971,-20,20,0.0
2972,-20,-10,-15.0
2973,-20,-10,-15.0
2974,-20,10,-5.0
2975,-20,0,-10.0
2997,-70,0,-35.0
3002,-70,10,-30.0
3003,-70,10,-30.0
3026,-20,10,-5.0
3027,-20,10,-5.0
3074,-20,10,-5.0
3075,-20,10,-5.0
3116,-20,10,-5.0
3117,-70,0,-35.0
3255,-20,30,5.0
3280,-10,0,-5.0
3407,-20,-10,-15.0
3408,-20,10,-5.0
3467,-70,20,-25.0
3468,-20,-10,-15.0
3472,-70,20,-25.0
3473,-70,20,-25.0
3474,-70,10,-30.0
3569,-20,30,5.0
4069,-20,-10,-15.0
4070,-20,20,0.0
4110,-20,20,0.0
4111,-10,20,5.0
4112,-20,0,-10.0
4244,-20,10,-5.0
4245,-20,10,-5.0
4246,-20,20,0.0
4323,-20,-10,-15.0
4324,-20,0,-10.0
4343,-70,0,-35.0
4344,-20,10,-6.666666666666667
4345,-10,20,5.0
4346,-20,0,-10.0
4414,-20,0,-10.0
4453,-20,10,-5.0
4455,-10,30,10.0
4456,-10,30,10.0
4458,-10,20,5.0
4493,-20,0,-10.0
4497,-20,-10,-15.0
4783,-20,20,0.0
4784,-20,20,0.0
4785,-20,0,-10.0
4786,-20,10,-5.0
4787,-20,0,-10.0
4788,-20,10,-5.0
4789,-20,10,-5.0
4790,-20,10,-5.0
4791,-20,0,-10.0
4792,-20,0,-10.0
4793,-20,10,-5.0
4794,-20,20,0.0
4795,-20,0,-10.0
4796,-20,0,-10.0
4797,-20,0,-10.0
4798,-20,10,-5.0
4816,-20,0,-10.0
4817,-10,10,0.0
4836,-10,30,10.0
4837,0,0,0.0
4901,-20,20,0.0
4902,-20,0,-10.0
4986,-20,0,-10.0
4987,-20,0,-10.0
4988,-10,10,0.0
5015,-70,0,-35.0
5016,-10,-10,-10.0
5028,-20,10,-5.0
5029,-20,10,-5.0
5081,-20,0,-10.0
5097,-20,10,-5.0
5098,-20,20,0.0
5099,-20,-10,-15.0
5101,-20,-10,-15.0
5102,-20,-10,-15.0
5103,-20,0,-10.0
5197,-20,20,0.0
5198,-20,20,0.0
5200,-20,10,-5.0
5515,-10,20,5.0
5516,-20,20,0.0
5517,-10,20,5.0
5518,-20,-10,-15.0
5519,-20,-10,-15.0
5520,-20,-10,-15.0
5521,-20,-10,-15.0
5522,-20,0,-10.0
5523,-20,-10,-15.0
5524,-20,-10,-15.0
5629,-20,0,-10.0
5631,-70,0,-35.0
5634,-20,-10,-15.0
5635,-20,-10,-15.0
5636,-20,-10,-15.0
5641,-20,-10,-15.0
5642,-20,-10,-15.0
5677,-20,0,-10.0
5678,-20,-10,-15.0
5715,-10,20,5.0
5716,-10,20,5.0
5757,-20,-10,-15.0
5758,-20,0,-10.0
5759,-20,0,-10.0
5760,-10,30,10.0
5837,-20,10,-5.0
5930,-10,10,0.0
5931,-10,0,-5.0
5932,-10,10,0.0
5933,-10,0,-5.0
5934,-10,0,-5.0
5935,-70,0,-35.0
5936,-10,0,-5.0
5938,-70,0,-35.0
5939,-10,0,-5.0
5940,-10,20,5.0
5955,-70,0,-35.0
5959,-70,0,-35.0
5960,-20,0,-10.0
5963,-20,0,-10.0
5964,0,30,15.0
6080,-70,0,-35.0
6081,-70,0,-35.0
6082,-70,0,-35.0
6083,-70,10,-30.0
6084,-70,0,-35.0
6085,-70,0,-35.0
6086,-70,0,-35.0
