id,name
847,JR千葉駅東口駅前大通り②
848,JR千葉駅東口駅前大通り③
849,JR千葉駅東口駅前大通り①
850,JR千葉駅西口駅前広場①
851,JR千葉駅西口駅前広場②
852,JR千葉駅北口駅前広場①
855,千葉中央コミュニティセンター
856,千葉市美術館
857,JR千葉みなと駅北口第2駐輪場
1402,セブンイレブン　検見川東店
1404,セブンイレブン　向原店　
1405,セブンイレブン　幕張店
1406,セブンイレブン　幕張西店
1503,中央図書館・生涯学習センター
1504,千葉ポートアリーナ
1558,セブンイレブン　千葉作草部店
1559,セブンイレブン　千葉小中台町店
1566,セブンイレブン　千葉大巌寺店
1707,セブンイレブン　千葉高浜4丁目店
1708,セブンイレブン　千葉高浜店
1709,セブンイレブン　千葉公園駅前店
1710,セブンイレブン　千葉弁天4丁目店
1711,セブンイレブン　千葉天台4丁目店
1714,セブンイレブン　千葉青葉町店
1721,メッセアミューズモールBエリア
1723,三井アウトレットパーク幕張Dサイト
1817,サイクルベースあさひ東千葉店
2027,イトーヨーカドー　幕張店
2028,アリオ　蘇我店
2056,セブンイレブン　千葉問屋町店
2057,セブンイレブン　西千葉駅南口店
2058,セブンイレブン　千葉蘇我町2丁目店
2062,ファミリーマート　千葉矢作町店
2063,ファミリーマート　千葉祐光三丁目店
2064,ファミリーマート　千葉祐光一丁目店
2065,ファミリーマート　千葉轟町一丁目店
2066,ファミリーマート　稲毛穴川一丁目店
2067,ファミリーマート　千葉駅北口店
2068,ファミリーマート　千葉汐見丘町店
2069,ファミリーマート　千葉みなと駅南口店
2070,ファミリーマート　千葉幸町一丁目店
2071,ファミリーマート　千葉稲丘町店
2193,ファミリーマート　稲毛小中台町店
2384,ファミリーマート　千葉鶴沢店
2495,ファミリーマート　千葉天台店
2499,ファミリーマート　千葉栄町南通り店
2509,ファミリーマート　千葉旭町店
2547,千葉市ハーモニープラザ
2571,ファミリーマート　千葉出洲港店
2589,稲毛区役所
2590,稲毛保健福祉センター
2591,花見川区役所
2593,磯辺スポーツセンター
2595,青葉病院
2596,高洲スポーツセンター
2661,真砂コミュニティセンター(営業時間9:00-20:00)
2662,幕張海浜緑地
2663,稲毛海浜公園①管理事務所脇駐輪場
2664,稲毛海浜公園②多目的広場脇駐輪場
2673,袖ヶ浦第３緑地①
2674,袖ヶ浦第３緑地②
2675,袖ヶ浦第３緑地③
2676,袖ヶ浦第３緑地④
2677,真砂中央公園①（南東側）
2678,真砂中央公園②（西側）
2681,花見川緑地交通公園（花見川緑地）
2709,山部第5公園
2710,上中公園
2711,臨海第2緑地②（幸町第4バス停前）
2712,臨海第2緑地①（幸町第2バス停前）
2713,袖ヶ浦第2緑地⑥
2714,高洲コミュニティセンター①（営業時間9:00-20:00)
2715,袖ヶ浦第2緑地③
2716,袖ヶ浦第2緑地④
2717,袖ヶ浦第2緑地②
2718,袖ヶ浦第2緑地⑤
2719,袖ヶ浦第2緑地①
2720,袖ヶ浦第4緑地（県営高浜第3バス停前）
2851,JR千葉駅北口第2駐輪場1階
2852,JR千葉駅北口第2駐輪場3階
2853,稲毛海浜公園テニスコート
2854,川崎さくら広場公園
2855,川崎ホット広場公園①
2856,川崎ホット広場公園②
2857,稲毛公民館
2858,稲毛海浜公園ヨットハーバー入口
2859,みやこ図書館
2860,南部青少年センター
2869,吾妻公園
2870,JR東千葉駅第1駐輪場
2871,JR千葉駅<東口>第5駐輪場
2872,美浜区役所
2948,蘇我駅第９駐輪場
2949,稲毛海岸北口遊歩道
2969,ファミリーマート　幕張本郷三丁目店
