id,min,max,mean
26,-10,0,-5.0
39,-10,0,-5.0
40,-10,0,-5.0
41,-10,10,0.0
188,-10,10,0.0
189,-10,10,0.0
191,-10,10,0.0
195,-10,20,5.0
198,-30,10,-10.0
199,-30,10,-10.0
200,-30,10,-10.0
201,-30,10,-10.0
202,-10,10,0.0
203,-10,10,0.0
204,-40,0,-20.0
207,-30,10,-10.0
271,-40,10,-15.0
275,-10,10,0.0
276,-10,10,0.0
277,-10,10,0.0
280,-10,10,0.0
281,-10,10,0.0
287,-10,10,0.0
288,-10,10,0.0
289,-10,10,0.0
290,-10,10,0.0
291,-30,10,-10.0
292,-30,10,-10.0
293,-10,10,0.0
294,-10,10,0.0
296,-10,0,-5.0
326,-40,10,-15.0
327,-20,20,0.0
330,-10,10,0.0
332,-10,10,0.0
333,-30,10,-10.0
335,-10,10,0.0
336,-10,10,0.0
338,-10,10,0.0
341,-10,10,0.0
342,-10,0,-5.0
344,-40,10,-15.0
347,-30,10,-10.0
356,-10,20,5.0
357,-10,10,0.0
359,-20,20,0.0
360,-20,10,-5.0
364,-30,10,-10.0
366,-30,20,-5.0
367,-10,10,0.0
368,-10,0,-5.0
370,-10,10,0.0
372,-20,30,5.0
375,-10,10,0.0
376,-10,10,0.0
377,-10,10,0.0
380,-10,10,0.0
381,-10,10,0.0
382,-10,10,0.0
383,-10,10,0.0
384,-10,0,-5.0
386,-30,10,-10.0
387,-30,0,-15.0
388,-10,10,0.0
389,-30,10,-10.0
390,-10,0,-5.0
391,-40,0,-20.0
394,-20,30,5.0
396,-10,10,0.0
397,-10,10,0.0
398,-10,10,0.0
399,-10,10,0.0
416,-20,30,5.0
432,-40,0,-20.0
433,-10,0,-5.0
434,-20,30,5.0
484,-20,40,10.0
486,-20,30,5.0
487,-20,10,-5.0
636,-10,0,-5.0
637,-10,0,-5.0
666,-10,10,0.0
668,-10,10,0.0
671,-20,20,0.0
673,-20,0,-10.0
747,-30,10,-10.0
892,-10,10,0.0
895,-20,10,-5.0
905,-20,10,-5.0
907,-20,20,0.0
1418,-10,10,0.0
1420,-20,10,-5.0
1432,-40,10,-15.0
1433,-40,0,-20.0
1444,-10,10,0.0
1445,-10,10,0.0
1446,-10,10,0.0
1448,-30,0,-15.0
1489,-40,0,-20.0
1491,-30,10,-10.0
1519,-20,30,5.0
1536,-10,30,10.0
1537,-30,20,-5.0
1538,-30,20,-5.0
1553,0,20,10.0
1560,-40,20,-10.0
1561,-40,0,-20.0
1562,-20,10,-5.0
1563,-20,10,-5.0
1633,-10,10,0.0
1706,-20,20,0.0
1712,-20,30,5.0
1814,-10,10,0.0
1876,-30,0,-15.0
1877,-30,10,-10.0
1959,-10,10,0.0
1960,-10,0,-5.0
1961,-10,10,0.0
1962,-10,0,-5.0
1963,-10,10,0.0
1964,-10,10,0.0
1965,-10,10,0.0
1966,-10,10,0.0
1967,-10,10,0.0
1968,-40,10,-15.0
1969,-40,10,-15.0
1970,-10,10,0.0
1971,-10,20,5.0
1972,-40,10,-15.0
1973,-40,10,-15.0
1974,-10,10,0.0
2061,-20,30,5.0
2128,-10,0,-5.0
2129,-10,20,5.0
2172,-10,20,5.0
2174,-30,10,-10.0
2175,-10,10,0.0
2176,-40,10,-15.0
2177,-40,10,-15.0
2178,-40,10,-15.0
2179,-40,10,-15.0
2180,-10,10,0.0
2182,-10,20,5.0
2183,-10,10,0.0
2184,-10,10,0.0
2185,-10,10,0.0
2186,-40,0,-20.0
2187,-40,10,-15.0
2188,-10,10,0.0
2189,-40,0,-20.0
2190,-10,10,0.0
2191,-30,10,-10.0
2195,-10,0,-5.0
2196,-10,10,0.0
2214,-10,10,0.0
2244,-10,10,0.0
2375,-10,0,-5.0
2376,-10,10,0.0
2377,-30,20,-5.0
2378,-10,10,0.0
2379,-10,10,0.0
2380,-10,10,0.0
2381,-10,10,0.0
2382,-10,20,5.0
2383,-10,10,0.0
2422,-10,20,5.0
2426,-10,10,0.0
2455,-10,0,-5.0
2473,0,30,15.0
2474,0,20,10.0
2475,-10,20,5.0
2476,0,20,10.0
2477,0,20,10.0
2478,0,20,10.0
2479,-10,0,-5.0
2480,0,20,10.0
2481,0,20,10.0
2482,-10,20,5.0
2483,0,30,15.0
2484,0,20,10.0
2510,-30,0,-15.0
2512,-30,0,-15.0
2528,-10,10,0.0
2545,-10,10,0.0
2546,-40,0,-20.0
2559,-30,20,-5.0
2568,-20,30,5.0
2582,-10,10,0.0
2588,-40,0,-20.0
2597,-10,10,0.0
2600,-10,10,0.0
2601,-10,10,0.0
2602,-10,0,-5.0
2604,-30,20,-5.0
2605,-40,0,-20.0
2606,-30,0,-15.0
2607,-30,0,-15.0
2608,-30,10,-10.0
2609,-30,10,-10.0
2610,-30,20,-5.0
2611,-10,10,0.0
2612,-10,10,0.0
2615,-10,0,-5.0
2616,-10,20,5.0
2617,-10,10,0.0
2618,-30,10,-10.0
2645,-10,20,5.0
2734,-30,10,-10.0
2752,-10,0,-5.0
2753,-40,0,-20.0
2775,-10,10,0.0
2776,-10,10,0.0
2777,-40,10,-15.0
2800,-30,0,-15.0
2873,-20,10,-5.0
2902,-10,0,-5.0
2962,-10,0,-5.0
2963,-20,0,-10.0
2964,-10,0,-5.0
2965,-10,10,0.0
2966,-10,10,0.0
2967,-10,10,0.0
2968,-10,20,5.0
2984,-10,0,-5.0
