id,weight
26,9.35
39,2.61
40,2.48
41,3.03
188,2.85
189,3.09
191,6.76
195,6.46
198,10.33
199,10.0
200,10.01
201,10.39
202,10.58
203,10.46
204,8.86
207,10.18
271,2.25
275,5.41
276,3.88
277,4.36
280,2.87
281,3.59
287,7.8
288,8.91
289,9.2
290,9.54
291,10.08
292,9.39
293,7.59
294,6.01
296,8.72
326,2.3
327,16.98
330,8.0
332,10.09
333,6.93
335,6.71
336,7.4
338,3.88
341,8.61
342,8.98
344,9.36
347,9.76
356,10.59
357,10.06
359,15.43
360,15.46
364,9.83
366,10.05
367,9.44
368,5.35
370,6.36
372,16.36
375,7.34
376,8.35
377,5.39
380,5.17
381,4.46
382,5.7
383,5.13
384,8.66
386,7.62
387,6.97
388,7.3
389,9.53
390,1.32
391,8.92
394,16.36
396,7.65
397,6.53
398,9.04
399,8.18
416,16.57
432,8.81
433,8.27
434,15.87
484,15.66
486,16.26
487,15.44
636,2.57
637,1.88
666,4.84
668,5.35
671,16.18
673,17.08
747,10.25
892,10.21
895,16.59
905,16.89
907,16.71
1418,9.29
1420,15.79
1432,14.86
1433,13.34
1444,7.04
1445,5.39
1446,5.92
1448,8.26
1489,8.82
1491,6.4
1519,16.08
1536,10.44
1537,9.97
1538,9.99
1553,2.88
1560,15.77
1561,15.35
1562,16.49
1563,16.96
1633,8.85
1706,16.79
1712,16.61
1814,8.35
1876,9.76
1877,9.38
1959,6.57
1960,2.34
1961,3.81
1962,5.37
1963,6.27
1964,6.77
1965,6.85
1966,2.55
1967,2.88
1968,1.78
1969,2.12
1970,1.65
1971,1.75
1972,2.92
1973,2.38
1974,4.87
2061,16.05
2128,2.3
2129,10.63
2172,9.81
2174,8.37
2175,5.81
2176,9.33
2177,3.98
2178,3.51
2179,4.22
2180,7.01
2182,9.34
2183,5.49
2184,5.12
2185,10.01
2186,8.63
2187,9.34
2188,8.02
2189,9.38
2190,6.39
2191,8.9
2195,8.78
2196,5.63
2214,4.25
2244,5.82
2375,6.38
2376,8.3
2377,10.44
2378,5.78
2379,8.59
2380,6.12
2381,7.04
2382,7.69
2383,5.3
2422,9.94
2426,10.27
2455,8.92
2473,3.24
2474,3.15
2475,2.8
2476,2.93
2477,2.85
2478,3.02
2479,2.64
2480,3.11
2481,3.14
2482,2.75
2483,3.21
2484,2.95
2510,9.87
2512,11.07
2528,10.58
2545,8.95
2546,8.9
2559,10.07
2568,15.92
2582,5.12
2588,14.61
2597,2.74
2600,6.5
2601,6.18
2602,2.52
2604,9.92
2605,8.53
2606,7.2
2607,6.31
2608,9.92
2609,10.12
2610,10.32
2611,3.27
2612,7.79
2615,8.81
2616,10.51
2617,7.75
2618,8.22
2645,6.58
2734,9.92
2752,8.75
2753,9.07
2775,5.23
2776,6.47
2777,9.76
2800,9.23
2873,16.08
2902,2.13
2962,2.37
2963,2.48
2964,2.71
2965,4.91
2966,2.88
2967,8.23
2968,5.62
2984,5.69
2985,5.51
2986,5.15
2987,5.12
2988,7.22
3012,9.97
3013,9.12
3014,10.42
3015,10.0
3016,7.27
3023,5.13
3024,5.17
3059,10.48
3060,16.53
3063,10.51
3068,5.66
3069,9.32
3078,10.5
3092,6.78
3093,10.62
3094,10.42
3144,9.24
3145,11.15
3147,12.93
3148,15.48
3149,16.75
3150,14.8
3151,15.17
3152,13.64
3153,6.4
3154,12.1
3156,15.52
3167,14.39
3168,13.83
3169,14.59
3170,15.24
3172,13.9
3173,14.16
3174,11.34
3175,11.7
3177,12.94
3178,14.39
3179,13.73
3180,15.26
3181,14.74
3182,11.7
3183,13.74
3184,13.98
3185,14.1
3186,10.33
3199,16.33
3204,5.43
3205,8.86
3207,10.21
3208,9.38
3209,9.51
3210,8.91
3211,10.0
3214,12.36
3215,15.17
3217,16.92
3219,15.02
3220,12.94
3221,13.22
3222,10.62
3223,10.34
3224,4.71
3225,5.79
3226,8.63
3227,16.54
3228,14.75
3229,13.76
3230,13.05
3231,1.71
3240,10.26
3243,16.42
3272,6.82
3273,5.65
3289,5.7
3311,3.69
3336,8.71
3337,10.59
3338,2.18
3339,5.53
3341,10.47
3342,10.63
3343,10.34
3345,8.98
3346,1.68
3348,16.74
3349,9.56
3350,13.51
3351,10.56
3352,3.45
3353,2.46
3354,1.19
3356,11.83
3357,2.55
3370,10.32
3371,9.69
3374,10.48
3375,10.32
3403,9.2
3409,16.25
3410,16.05
3424,2.39
3426,8.44
3434,16.29
3435,14.08
3436,10.51
3437,14.37
3444,7.78
3501,17.03
3502,15.35
3539,3.15
3551,10.37
3552,9.24
3553,9.3
3554,9.37
3556,9.6
3557,9.69
3559,9.83
3560,10.2
3561,10.25
3562,10.31
3573,16.93
3591,16.84
3592,3.06
3593,2.98
3594,2.8
3595,1.21
3611,10.79
3651,15.97
3694,16.93
3701,2.47
3702,2.76
3707,2.77
3711,9.16
3741,2.03
3742,16.38
3745,8.91
3747,9.08
3806,3.12
3807,16.19
3816,16.71
3818,14.81
3838,16.46
3843,14.71
3844,16.4
3845,16.86
3846,16.33
3848,16.15
3849,16.44
3850,15.8
3851,16.19
3852,16.79
3861,6.84
3862,8.92
3873,7.56
3874,9.95
3875,8.79
3876,15.2
3877,14.53
3888,9.27
3893,9.97
3894,10.23
3895,9.72
3896,6.79
3897,8.21
3921,8.7
3923,6.63
3924,6.09
3925,1.73
3931,14.53
3932,9.26
3933,10.3
3934,14.14
3937,8.58
3956,14.67
3957,14.84
3958,14.86
3959,14.67
3960,14.88
3962,11.26
3963,11.19
3964,11.17
3965,11.18
3966,11.18
3969,8.06
3972,9.78
3973,12.35
3974,11.46
3975,11.37
3976,12.08
3977,13.16
3978,9.73
3979,11.39
3980,12.51
3981,8.37
3982,11.94
3983,13.22
3984,14.15
3985,11.89
3986,13.6
3987,13.36
3990,9.63
3991,13.69
3992,14.22
3993,11.41
3994,10.53
3995,13.56
3996,9.47
3997,11.88
3998,12.35
3999,12.65
4000,11.69
4001,11.71
4002,9.02
4004,8.04
4005,9.33
4006,11.25
4007,13.59
4008,7.7
4012,10.28
4014,16.73
4015,16.25
4038,7.74
4039,9.99
4046,10.21
4052,15.68
4053,16.97
4054,15.69
4055,16.83
4095,14.71
4096,10.11
4097,6.48
4098,6.61
4099,7.32
4100,7.15
4104,8.92
4105,5.01
4106,9.21
4107,9.24
4108,15.91
4109,16.05
4127,8.85
4128,8.73
4129,8.66
4130,8.92
4131,9.17
4132,7.24
4153,3.84
4154,8.66
4155,10.23
4156,3.17
4157,6.21
4158,6.08
4159,5.9
4160,5.62
4161,2.6
4162,3.07
4163,2.16
4164,0.98
4165,1.44
4166,1.91
4172,11.93
4182,13.94
4183,14.21
4184,15.02
4186,16.59
4187,16.86
4188,16.76
4189,16.2
4190,17.03
4191,16.59
4192,16.0
4194,15.28
4195,14.22
4196,13.43
4197,14.62
4204,14.53
4205,16.93
4206,7.39
4207,15.85
4214,2.52
4215,2.34
4216,2.19
4217,2.24
4218,2.11
4219,1.82
4220,1.77
4221,4.26
4222,6.73
4223,14.39
4247,12.62
4248,14.32
4249,14.68
4250,14.93
4252,15.06
4253,15.13
4261,10.18
4282,2.37
4329,2.95
4330,2.91
4331,3.17
4339,9.97
4340,10.19
4351,2.11
4352,1.16
4353,3.15
4354,3.15
4359,16.67
4361,14.42
4391,16.03
4392,15.01
4393,14.28
4459,9.95
4491,5.78
4492,7.3
4498,6.0
4818,12.89
4903,7.92
4904,2.64
4906,3.14
4907,1.89
4908,2.03
4909,1.76
4925,6.51
4926,9.12
4932,12.67
4942,16.09
4958,3.14
4972,16.48
4973,17.03
4978,10.22
4979,8.9
4980,6.14
4989,9.07
4990,14.72
4991,14.71
4992,12.87
4994,14.69
4995,16.06
4996,15.98
4997,12.38
5004,16.24
5005,15.81
5009,17.03
5036,6.97
5037,13.28
5038,12.97
5039,13.96
5046,8.79
5061,8.56
5164,13.93
5211,9.41
5215,13.42
5216,15.13
5217,8.97
5218,14.77
5219,9.21
5272,13.25
5273,13.08
5303,9.66
5331,15.46
5339,9.7
5340,9.69
5380,9.16
5417,16.13
5420,2.37
5423,2.54
5424,2.48
5435,3.02
5436,14.91
5465,1.8
5466,1.84
5467,1.64
5468,1.53
5469,1.99
5471,2.62
5472,2.49
5473,3.02
5474,3.01
5475,3.02
5476,3.11
5477,1.84
5478,2.42
5480,2.99
5482,3.1
5484,3.2
5487,3.26
5488,3.05
5489,3.1
5490,3.06
5491,2.8
5492,2.67
5493,1.88
5494,2.78
5495,2.36
5496,2.46
5497,3.0
5498,2.53
5499,2.18
5500,3.96
5526,10.01
5534,12.87
5565,9.37
5569,2.79
5570,2.65
5571,2.57
5593,4.87
5595,15.63
5614,6.34
5617,10.2
5644,15.51
5645,15.33
5646,14.88
5647,5.39
5648,6.88
5649,8.77
5679,3.58
5680,3.84
5681,4.09
5682,5.11
5683,9.48
5684,4.8
5685,4.17
5686,2.59
5687,4.17
5688,4.67
5689,5.72
5700,8.32
5701,7.2
5702,6.26
5703,4.71
5704,4.93
5705,5.36
5718,8.47
5719,9.86
5720,9.95
5721,10.41
5722,9.41
5723,9.39
5724,9.34
5743,4.24
5744,5.33
5746,5.72
5749,6.62
5750,6.01
5751,12.9
5752,12.25
5766,14.97
5767,15.37
5768,15.48
5769,15.13
5770,14.93
5771,14.05
5772,12.38
5773,10.86
5774,11.27
5775,9.52
5776,13.15
5777,12.95
5778,13.5
5783,11.47
5784,11.76
5785,13.81
5786,10.9
5787,9.54
5788,8.55
5790,6.58
5791,8.5
5792,11.28
5794,4.6
5795,4.47
5796,3.87
5798,2.74
5799,1.81
5801,3.03
5826,13.85
5831,4.1
5832,5.51
5833,8.22
5838,1.52
5839,3.08
5840,3.06
5841,1.72
5842,3.14
5843,3.25
5844,2.52
5845,2.9
5846,1.26
5852,10.4
5853,10.46
5854,10.44
5856,3.27
5857,2.03
5858,6.72
5860,15.64
5862,15.45
5885,5.01
5886,4.34
5887,5.11
5888,5.23
5889,5.72
5890,5.09
5891,6.87
5892,2.36
5893,4.62
5894,6.55
5895,7.25
5896,4.33
5899,3.94
5900,3.52
5901,2.56
5902,2.65
5903,2.59
5904,2.78
5905,1.58
5906,4.66
5909,6.1
5910,4.58
5913,2.33
5914,6.04
5915,6.7
5916,6.7
5917,3.79
5918,9.1
5922,2.54
5923,2.96
5924,3.27
5925,6.96
5927,4.99
5953,5.97
6057,2.82
6058,2.73
6059,2.86
6061,3.17
6062,3.21
6063,2.12
6064,1.19
6065,3.26
6066,2.36
6067,2.07
6068,1.12
6069,1.73
6071,2.45
6072,2.5
6073,2.09
6497,5.8
6498,4.87
6499,5.24
6500,8.35
6501,6.8
6502,11.03
6503,10.98
6504,10.81
6505,14.85
6506,14.92
6507,10.21
6514,9.04
6533,10.34
6534,10.2
6541,5.19
6550,2.32
6551,1.84
6552,5.08
6594,5.97
6595,6.24
6604,2.73
6605,1.95
6606,2.0
6607,2.14
6608,2.28
6609,2.0
6610,1.53
6611,5.35
6612,5.84
6613,6.02
6624,11.33
6625,6.41
6626,2.87
6627,3.25
6628,2.42
6629,2.87
6630,2.9
6631,2.83
6632,2.89
6633,2.69
6634,2.81
6635,2.79
6636,2.42
6637,2.39
6671,7.48
6684,13.53
6685,13.56
6686,14.29
6687,13.96
6688,14.08
6689,13.62
6690,10.29
6705,14.52
6708,14.92
6710,8.07
6711,10.87
6717,8.93
6726,2.63
6728,1.95
6729,1.46
6832,13.08
6834,16.86
6874,4.09
6875,2.96
6876,2.88
6877,2.93
6878,2.93
6879,2.94
6880,2.91
6881,4.66
6884,7.01
6885,7.05
6886,7.57
6887,8.85
6888,7.52
6889,6.86
6890,7.09
6891,4.21
6892,8.29
6893,4.73
6894,2.91
6906,8.84
6917,1.83
6919,2.15
6961,5.56
6963,6.05
6967,6.43
6978,12.21
7004,2.6
7023,6.98
7030,16.33
7031,16.31
7032,16.2
7041,5.6
7050,9.8
7051,7.5
7052,3.37
7053,5.48
7054,8.16
7055,9.22
7056,9.22
7057,9.11
7058,6.8
7060,11.15
7094,7.03
7101,10.16
7131,3.91
7133,4.11
7139,7.48
7148,13.27
7156,5.91
7157,8.43
7158,9.12
7159,2.34
7160,2.05
7162,4.01
7163,2.92
7164,2.88
7207,2.96
7246,14.83
7251,13.49
7260,3.12
7261,5.16
7280,4.68
7281,14.75
7285,5.23
7286,10.04
7287,6.81
7320,6.64
7381,9.53
7382,10.48
7383,9.39
7385,13.65
7457,3.83
7461,14.3
7462,13.7
7463,14.91
7464,14.52
7466,13.58
7513,2.67
7550,2.97
7565,2.79
7569,15.05
7585,9.59
7586,8.23
7587,7.69
7588,6.61
7589,10.55
7590,10.28
7591,9.26
7592,7.87
7593,8.83
7594,10.07
7595,9.91
7596,9.2
7597,10.64
7598,9.07
7599,10.36
7600,10.4
7602,7.96
7641,9.1
7651,8.04
7654,8.04
7656,9.82
7657,2.02
7658,1.11
7659,2.29
7660,2.3
7661,2.63
7662,1.57
7663,10.19
7672,11.7
7711,2.73
7769,8.64
7770,10.1
7771,4.97
7772,4.83
7773,4.74
7774,4.92
7790,2.46
7791,3.11
7792,2.76
7793,2.48
7794,2.93
7901,1.81
7902,5.53
7918,9.87
7921,9.69
7922,9.01
7923,8.75
7924,8.9
7925,10.18
7926,8.86
7927,9.34
7928,9.45
7929,11.39
7930,7.99
7931,8.16
7932,8.71
7933,9.31
7934,10.02
7935,9.29
7936,9.74
7937,9.43
7938,10.17
7996,10.49
8009,4.05
8064,10.6
8077,9.37
8145,6.85
8146,5.72
8147,4.09
8148,2.81
8152,16.1
9190,10.05
9224,7.6
9227,5.56
9228,9.74
9229,8.55
9450,2.39
9451,13.24
9507,4.32
9508,9.86
9509,9.83
9510,9.83
9528,3.64
9549,10.17
9562,13.85
9566,10.07
9762,10.41
9763,10.75
9799,0.64
9801,1.02
9802,4.7
9803,1.72
9829,2.27
9881,9.5
9882,9.45
9883,9.42
9884,9.42
9885,9.39
9886,9.18
9938,2.95
10145,10.37
10146,8.7
10147,9.3
10154,11.91
10155,12.03
10227,6.46
10232,10.49
10233,4.72
10238,3.09
10239,4.47
10248,14.27
