id,min,max,mean
419,-10,10,0.0
826,-20,0,-10.0
885,-20,0,-10.0
886,-20,0,-10.0
1901,-20,0,-10.0
1903,-20,0,-10.0
1904,-20,0,-10.0
1907,-20,0,-10.0
1909,-20,0,-10.0
1910,-20,-10,-15.0
1912,-20,0,-10.0
1913,-20,0,-10.0
1919,-10,10,0.0
1922,-10,0,-5.0
1995,-20,0,-10.0
1996,-20,0,-10.0
2004,-20,0,-10.0
2010,-40,0,-20.0
2031,-20,0,-10.0
2036,-50,0,-25.0
2039,-10,10,0.0
2043,-20,0,-10.0
2044,-10,0,-5.0
2046,-10,0,-5.0
2047,-10,0,-5.0
2049,-20,0,-10.0
2050,-20,0,-10.0
2051,-20,0,-10.0
2052,-20,0,-10.0
2055,-50,10,-20.0
2096,-20,0,-10.0
2097,-20,0,-10.0
2099,-20,0,-10.0
2102,-20,0,-10.0
2110,-10,0,-5.0
2232,-20,0,-10.0
2346,-20,0,-10.0
2497,-50,20,-15.0
2498,-50,10,-20.0
2502,-10,10,0.0
2523,-20,-10,-15.0
2637,-20,0,-10.0
2649,-10,10,0.0
2830,0,50,25.0
2831,0,50,25.0
2832,0,50,25.0
2833,0,30,15.0
2834,0,20,10.0
2835,-50,20,-15.0
2837,0,60,30.0
2838,-50,30,-10.0
2839,20,40,30.0
2899,-50,20,-15.0
3082,-20,0,-10.0
3083,-10,0,-5.0
3120,-50,30,-10.0
3121,0,20,10.0
3197,-10,0,-5.0
3198,-10,0,-5.0
3279,-10,0,-5.0
3417,-10,10,0.0
3481,-50,0,-25.0
3482,-20,-10,-15.0
3483,-20,0,-10.0
3503,-50,0,-25.0
3520,-40,10,-15.0
3521,-10,10,0.0
3522,-10,20,5.0
3599,-20,30,5.0
3712,-50,20,-15.0
3713,-50,20,-15.0
3714,-20,10,-5.0
3715,-20,10,-5.0
3716,-20,0,-10.0
3717,-20,0,-10.0
3718,-20,50,15.0
3720,-20,40,10.0
3721,-20,20,0.0
3722,-20,20,0.0
3723,-20,10,-5.0
3724,-20,20,0.0
3725,-50,10,-20.0
3726,-20,10,-5.0
3727,-20,10,-5.0
3728,-20,0,-10.0
3729,-20,-10,-15.0
3730,-20,0,-10.0
3731,-20,0,-10.0
3733,-20,0,-10.0
3734,-20,0,-10.0
3735,-20,0,-10.0
3736,-20,0,-10.0
3737,-50,10,-20.0
3738,-50,30,-10.0
3780,0,50,25.0
3781,60,110,85.0
3821,-20,0,-10.0
3881,-20,0,-10.0
3970,-20,0,-10.0
4146,-20,0,-10.0
4238,10,70,40.0
4239,-10,30,10.0
4284,-40,0,-20.0
4285,-40,0,-20.0
4286,-10,10,0.0
4288,-10,10,0.0
4289,-10,20,5.0
4290,-10,20,5.0
4291,-10,20,5.0
4292,-10,20,5.0
4293,-40,0,-20.0
4294,-40,10,-15.0
4295,-40,0,-20.0
4296,-40,0,-20.0
4297,-40,10,-15.0
4298,-40,0,-20.0
4299,-40,0,-20.0
4300,-40,0,-20.0
4301,-10,20,5.0
4305,-50,20,-15.0
4306,-50,50,0.0
4318,-10,20,5.0
4337,-10,0,-5.0
4338,-20,0,-10.0
4365,-10,0,-5.0
4366,-40,0,-20.0
4462,-20,-10,-15.0
4463,-20,0,-10.0
4464,-20,0,-10.0
4465,-20,0,-10.0
4467,-20,0,-10.0
4468,-20,-10,-15.0
4469,-20,0,-10.0
4470,-20,0,-10.0
4471,-20,0,-10.0
4472,-20,0,-10.0
4473,-20,0,-10.0
4475,-20,10,-5.0
4476,-20,0,-10.0
4477,-20,10,-5.0
4478,-20,0,-10.0
4480,-50,30,-10.0
4481,-50,20,-9.0
4483,10,60,35.0
4946,-10,0,-5.0
4947,-10,0,-5.0
4948,-40,0,-20.0
4949,-40,0,-20.0
4950,-10,0,-5.0
4951,-10,0,-5.0
4952,-10,20,5.0
4953,-10,20,5.0
5035,-50,30,-10.0
5111,-20,-10,-15.0
5186,10,60,35.0
5187,10,90,50.0
5188,40,100,70.0
5189,60,100,80.0
5190,10,70,44.16666666666666
5191,10,70,40.0
5192,30,40,35.0
