id,weight
419,0.87
826,1.69
885,1.41
886,1.87
1901,2.79
1903,3.46
1904,3.04
1907,4.26
1909,4.79
1910,2.7
1912,2.36
1913,2.14
1919,0.98
1922,2.07
1995,4.47
1996,3.15
2004,1.73
2010,1.18
2031,1.55
2036,0.93
2039,1.4
2043,4.6
2044,0.66
2046,1.86
2047,1.99
2049,1.66
2050,1.36
2051,1.1
2052,1.84
2055,2.07
2096,4.41
2097,3.41
2099,3.07
2102,2.3
2110,1.14
2232,1.35
2346,1.79
2497,2.02
2498,2.02
2502,1.39
2523,1.23
2637,0.86
2649,1.74
2830,2.18
2831,2.45
2832,2.81
2833,2.72
2834,2.78
2835,3.81
2837,2.04
2838,4.03
2839,3.68
2899,1.99
3082,2.38
3083,1.12
3120,4.2
3121,3.33
3197,0.36
3198,0.19
3279,0.21
3417,1.98
3481,0.98
3482,0.48
3483,2.32
3503,1.33
3520,3.33
3521,3.05
3522,3.59
3599,1.47
3712,6.35
3713,6.32
3714,6.49
3715,6.43
3716,6.57
3717,5.7
3718,6.33
3720,6.3
3721,6.71
3722,6.56
3723,6.65
3724,6.63
3725,4.96
3726,4.12
3727,6.61
3728,6.22
3729,5.94
3730,5.13
3731,4.48
3733,5.05
3734,3.88
3735,4.25
3736,4.94
3737,5.55
3738,6.35
3780,2.01
3781,0.12
3821,1.47
3881,4.97
3970,6.52
4146,1.71
4238,3.97
4239,2.29
4284,2.64
4285,3.33
4286,3.05
4288,3.55
4289,3.63
4290,3.6
4291,3.59
4292,3.45
4293,2.88
4294,2.87
4295,0.95
4296,2.89
4297,2.63
4298,2.71
4299,3.03
4300,2.61
4301,3.29
4305,5.0
4306,5.02
4318,3.28
4337,2.77
4338,2.15
4365,0.71
4366,0.98
4462,4.49
4463,4.6
4464,4.93
4465,5.27
4467,5.33
4468,5.16
4469,5.94
4470,6.24
4471,5.99
4472,5.3
4473,5.74
4475,6.73
4476,5.63
4477,6.5
4478,5.41
4480,6.28
4481,6.64
4483,6.31
4946,1.97
4947,2.01
4948,2.22
4949,2.21
4950,2.93
4951,2.9
4952,3.4
4953,2.79
5035,3.83
5111,3.9
5186,1.73
5187,1.65
5188,1.44
5189,1.33
5190,1.67
5191,1.69
5192,1.49
5193,1.86
5194,1.85
5195,1.9
5196,1.8
5207,1.89
5287,6.82
5314,2.45
5315,3.47
5432,6.6
5504,1.86
5572,2.22
5573,3.68
5574,5.28
5575,5.37
5576,4.33
5577,5.74
5578,5.73
5579,3.55
5581,4.02
5582,4.6
5583,2.85
5584,1.73
5585,3.87
5586,3.7
5587,3.93
5588,4.78
5589,3.8
5590,4.56
5697,4.73
5698,4.89
5711,3.72
5803,3.45
5804,2.91
5805,1.58
5806,1.71
5807,1.22
5808,1.74
5809,1.6
5810,1.77
5811,1.88
5812,2.74
5813,2.68
5814,2.7
5822,3.72
5824,4.47
5825,4.97
5836,4.1
5873,2.72
5874,2.46
5876,3.24
5877,2.95
5878,2.71
5879,3.1
5880,0.42
5881,2.24
5882,3.32
5883,4.17
5911,2.12
5912,3.1
5926,2.7
6060,4.26
6466,0.83
6467,4.14
6468,5.2
6472,6.55
6473,6.59
6474,6.1
6475,5.98
6476,6.31
6477,6.45
6480,2.23
6481,1.48
6482,2.1
6483,1.92
6484,1.8
6485,2.03
6486,1.39
6487,1.82
6488,2.28
6489,1.35
6493,2.99
6494,2.9
6495,2.18
6509,3.48
6586,1.57
6675,6.34
6742,4.96
6743,2.15
6744,2.65
6745,4.95
6746,4.42
6747,5.7
6748,5.57
6749,5.41
6760,1.16
6761,1.11
6762,1.29
6763,1.71
6764,1.28
6765,1.3
