id,min,max,mean
7226,80,160,120.0
7229,140,180,160.0
7230,80,90,85.0
7231,80,90,85.0
7232,80,100,90.0
7239,80,130,105.0
7240,80,90,85.0
7242,80,90,85.0
7244,80,90,85.0
7245,80,90,85.0
7247,80,100,90.0
7401,80,130,105.0
7418,100,180,140.0
7503,80,110,95.0
7507,80,100,90.0
7521,80,100,90.0
7522,100,170,135.0
7537,100,160,130.0
7582,80,90,85.0
7583,140,160,150.0
7584,80,100,90.0
7650,80,90,85.0
7652,80,90,85.0
7653,80,100,90.0
7830,80,90,85.0
7832,80,90,85.0
7833,80,110,95.0
8021,80,90,85.0
8022,100,130,115.0
9469,100,220,160.0
9470,80,90,85.0
9471,80,120,100.0
9532,250,280,265.0
9533,250,270,260.0
9534,250,270,260.0
9535,250,270,260.0
9536,250,270,260.0
