id,min,max,mean
161,0,20,10.0
162,0,20,10.0
163,0,30,15.0
164,0,20,10.0
166,0,40,20.0
212,0,20,10.0
1564,0,30,15.0
1565,-10,20,5.0
1756,0,10,5.0
1785,0,10,5.0
1786,0,20,10.0
2983,0,20,10.0
3086,0,10,5.0
3087,0,10,5.0
3297,0,20,10.0
3633,0,40,20.0
7316,0,20,10.0
7405,-10,0,-5.0
7460,0,10,5.0
7470,-10,0,-5.0
7501,-20,0,-10.0
7523,0,40,20.0
7525,0,10,5.0
7535,-10,10,0.0
7581,-10,10,0.0
7655,-10,20,5.0
7765,-20,0,-10.0
7766,-30,-10,-20.0
7783,-10,10,0.0
7784,-30,0,-15.0
7785,-20,0,-10.0
7834,-10,20,5.0
7904,-30,0,-15.0
7905,-10,20,5.0
7906,-10,10,0.0
7907,-10,30,10.0
7908,-20,0,-10.0
7909,-10,0,-5.0
7910,-10,0,-5.0
7911,-30,-10,-20.0
7913,-30,0,-15.0
7914,-10,0,-5.0
7915,-10,20,5.0
7916,-30,0,-15.0
7917,-10,10,0.0
7990,-10,0,-5.0
8041,-10,0,-5.0
8054,-30,0,-15.0
8080,-10,20,5.0
8081,-10,10,0.0
8082,-10,20,5.0
8083,-10,0,-5.0
8084,-10,0,-5.0
8085,-10,10,0.0
9216,-30,-10,-20.0
9217,-20,0,-10.0
9218,-20,0,-10.0
9219,-20,0,-10.0
9511,-10,10,0.0
9712,-10,0,-5.0
9741,-30,0,-15.0
9742,-10,0,-5.0
9804,-30,0,-15.0
9915,-10,20,5.0
9916,-10,0,-5.0
