id,name
161,東岡崎駅前
162,りぶら
163,岡崎市役所
164,岡崎公園大手門
166,岡崎女子大学
212,Camping Office osoto
1564,岡崎げんき館
1565,カクキュー八丁味噌（八丁味噌の郷）
1756,岡崎オーワホテル
1785,サイクルベースあさひ北岡崎店
1786,サイクルベースあさひ岡崎南店
2983,イオン岡崎南店　西入り口
3086,JR岡崎駅（バラの広場）
3087,シビックセンター前
3297,籠田公園
3633,自然科学研究機構前
7316,東岡崎駅構内チャージャーステーション
7405,ライブリー鶴舞
7460,今池グランドビル
7470,Espoir i(ｴｽﾎﾟﾜｰﾙｱｲ)明道町ﾊﾞｽ停前
7501,栄生2丁目交差点
7523,Oliva（オリバー）
7525,グリーンゲートレジデンス
7535,サンゲツ３号館
7581,西方院
7655,ホテル 名古屋ガーデンパレス
7765,Hair Salon TOP大江店
7766,長戸井ガレージ
7783,寿荘
7784,黄金4422BLDG.
7785,愛昇殿レクストの杜　那古野
7834,名古屋広小路プレイス
7904,カリットギョウザ黄金
7905,NPC24H三蔵パーキング 
7906,NPC24H東新町パーキング
7907,NPC24Hクイック錦３丁目パーキング
7908,NPC24H亀島２丁目パーキング
7909,街と珈琲
7910,船橋株式会社
7911,P.ZONE運河町第１駐車場
7913,ベレーサ名駅ウエスト
7914,日本福祉大学 中央福祉専門学校
7915,Sc 伏見 Bldg.　
7916,REGALESTささしまライブ
7917,P.ZONE 池田公園駐車場
7990,メゾン天道
8041,いずみパーキング正木3丁目
8054,長良本町バス停前
8080,名古屋市役所
8081,名古屋城正門前
8082,金山駅南口(駐輪場入口)
8083,納屋橋ゆめ広場
8084,納屋橋天王崎橋上右岸広場
8085,オアシス21
9216,愛昇殿レクストの杜　太閤通
9217,あいち
9218,藤田製作所
9219,NPC24H新道１丁目パーキング
9511,三交イン名古屋伏見
9712,P.ZONE　金山駐車場
9741,パレマルシェ 中村店　
9742,いずみパーキング内田町第２
9804,ホテル758
9915, 大一栄パーキング
9916,いずみパーキング上飯田東町
