id,weight
161,1.31
162,1.23
163,1.23
164,1.26
166,1.01
212,1.18
1564,1.11
1565,1.15
1756,1.18
1785,0.87
1786,0.75
2983,1.11
3086,0.78
3087,0.94
3297,1.24
3633,1.26
7316,1.31
7405,1.69
7460,0.91
7470,2.28
7501,1.58
7523,0.0
7525,1.26
7535,2.18
7581,0.3
7655,2.41
7765,0.31
7766,1.88
7783,0.32
7784,1.87
7785,2.2
7834,2.19
7904,1.85
7905,2.45
7906,2.14
7907,2.26
7908,2.02
7909,0.38
7910,2.5
7911,2.3
7913,2.11
7914,1.77
7915,2.46
7916,2.18
7917,2.14
7990,0.47
8041,1.85
8054,1.53
8080,2.01
8081,2.03
8082,1.53
8083,2.47
8084,2.49
8085,2.22
9216,2.0
9217,0.21
9218,0.34
9219,1.96
9511,2.53
9712,1.45
9741,0.79
9742,0.45
9804,2.33
9915,2.19
9916,0.37
