id,min,max,mean
17,-10,10,0.0
75,-20,20,0.0
76,40,50,45.0
77,10,30,20.0
79,-10,0,-5.0
81,10,60,35.0
110,10,50,30.0
112,-20,20,0.0
118,-10,40,15.0
119,-10,20,5.0
120,-10,20,5.0
142,20,60,40.0
182,-30,30,0.0
184,20,40,30.0
185,-10,20,5.0
239,-10,20,5.0
247,30,50,40.0
662,-10,30,10.0
748,20,40,30.0
764,-20,10,-5.0
1426,50,60,55.0
1473,-20,0,-10.0
1474,-20,0,-10.0
1475,-20,0,-10.0
1477,-20,0,-10.0
1478,20,40,30.0
1479,-20,0,-10.0
1480,0,30,15.0
1481,20,40,30.0
1523,20,40,30.0
1524,20,40,30.0
1525,10,30,20.0
1529,-20,0,-10.0
1530,-20,10,-5.0
1531,-20,10,-5.0
1532,-20,0,-10.0
1533,-20,0,-10.0
1556,40,80,60.0
1792,-10,40,15.0
1795,0,40,20.0
1796,-20,0,-10.0
1797,-20,0,-10.0
1905,-20,0,-10.0
1918,-20,0,-10.0
1932,10,60,35.0
1988,20,40,30.0
1992,40,50,45.0
1993,60,70,65.0
2025,-10,10,0.0
2120,-20,0,-10.0
2144,-30,20,-5.0
2152,-30,30,0.0
2153,-30,30,0.0
2154,10,30,20.0
2156,0,20,10.0
2158,10,40,25.0
2192,-10,0,-5.0
2205,-10,30,10.0
2206,-10,30,10.0
2207,-10,30,10.0
2208,-10,30,10.0
2209,-10,30,10.0
2210,0,30,15.0
2211,0,30,15.0
2215,-30,0,-15.0
2216,-10,0,-5.0
2228,-20,0,-10.0
2266,-10,0,-5.0
2270,-40,0,-20.0
2271,-20,0,-10.0
2273,-40,0,-20.0
2275,-20,0,-10.0
2276,-40,0,-20.0
2278,-40,0,-20.0
2286,-20,0,-10.0
2287,-20,0,-10.0
2327,-30,0,-15.0
2355,-20,0,-10.0
2356,-20,0,-10.0
2357,-20,0,-10.0
2358,-20,0,-10.0
2359,-20,0,-10.0
2360,-20,10,-5.0
2361,-20,0,-10.0
2362,-30,10,-10.0
2363,0,20,10.0
2364,-30,0,-15.0
2365,-30,10,-10.0
2425,0,30,15.0
2443,10,40,25.0
2444,10,60,35.0
2445,10,30,20.0
2446,10,50,30.0
2447,50,60,55.0
2449,10,40,25.0
2453,20,50,35.0
2494,10,40,25.0
2522,-20,0,-10.0
2533,10,70,40.0
2536,60,70,65.0
2539,-10,0,-5.0
2540,20,40,30.0
2579,-40,0,-20.0
2691,-30,0,-15.0
2692,-20,0,-10.0
2866,30,50,40.0
2938,20,50,35.0
2939,-20,0,-10.0
2940,20,40,30.0
2992,-20,0,-10.0
2993,0,30,15.0
2994,20,40,30.0
3062,0,30,15.0
3067,-10,10,0.0
3080,50,70,60.0
3081,60,80,70.0
3091,-40,0,-20.0
3118,-10,30,10.0
3119,-10,0,-5.0
3187,-10,0,-5.0
3200,-10,10,0.0
3202,-20,0,-10.0
3203,-20,10,-5.0
3257,20,40,30.0
3258,20,50,35.0
3259,-20,10,-5.0
3260,-10,30,10.0
3261,-10,40,15.0
