id,name
17,新御徒町ステーション
75,seesaw
76,ダイシャリン三鷹店
77,ダイシャリン池袋店
79,ダイシャリン江戸川橋駅店
81,ダイシャリン府中店
110,サイクルスポット大泉学園店
112,サイクルスポット喜多見店
118,サイクルスポット桜新町店
119,ル・サイク渋谷店
120,ル・サイク三田店
142,【ベルシェア】高木ビル　三鷹
182,赤羽駅西口自転車駐車場(4:00～24：50）       
184,サイクルベースあさひ高円寺店
185,フィル・パークKaguLab.飯田橋
239,ル・サイクakiba
247,サイクルスポット吉祥寺店
662,ル・サイク広尾店
748,セブンイレブン　荻窪駅前店
764,サイクルスポット池上店
1426,サイクルベースあさひ府中店
1473,セブンイレブン　墨田亀沢1丁目店
1474,セブンイレブン　墨田緑3丁目店
1475,セブンイレブン　墨田京島3丁目明治通り店
1477,セブンイレブン　東武曳舟駅前店
1478,セブンイレブン　世田谷砧4丁目店
1479,セブンイレブン　台東石浜店
1480,セブンイレブン　世田谷若林4丁目店
1481,セブンイレブン　世田谷駒留通り店
1523,セブンイレブン　井荻駅北口店
1524,セブンイレブン　中野鷺ノ宮駅前店
1525,セブンイレブン　中野野方2丁目店
1529,セブンイレブン　墨田東駒形3丁目店
1530,セブンイレブン　墨田業平1丁目店
1531,セブンイレブン　台東浅草6丁目店
1532,セブンイレブン　墨田八広4丁目店
1533,セブンイレブン　墨田5丁目店
1556,サイクルスポット東村山店
1792,セブンイレブン　世田谷上野毛駅前店
1795,セブンイレブン　世田谷下北沢駅前店
1796,セブンイレブン　墨田業平5丁目店
1797,セブンイレブン　墨田文花店
1905,セブンイレブン　足立東和1丁目店
1918,セブンイレブン　足立東和5丁目店
1932,サイクルスポット日野バイパス店
1988,西武池袋線 桜台駅
1992,西武新宿線 東伏見駅
1993,西武多摩湖線 青梅街道駅
2025,松坂屋上野店
2120,セブンイレブン　葛飾亀有4丁目店
2144,セブンイレブン　蓮沼アスリート通り店
2152,セブンイレブン　板橋大山公園前店
2153,セブンイレブン　板橋大山東町店
2154,セブンイレブン　板橋大山店
2156,セブンイレブン　豊島巣鴨新田店
2158,セブンイレブン　板橋向原2丁目店
2192,セブンイレブン　足立加平2丁目店
2205,セブンイレブン　板橋教育科学館前店
2206,セブンイレブン　板橋若木1丁目店
2207,セブンイレブン　東武練馬駅北口店
2208,セブンイレブン　板橋西台店
2209,セブンイレブン　板橋徳丸2丁目店
2210,セブンイレブン　板橋徳丸4丁目店
2211,セブンイレブン　板橋成増3丁目東店
2215,セブンイレブン　板橋蓮根2丁目店
2216,セブンイレブン　板橋相生町店
2228,セブンイレブン　葛飾亀有1丁目店
2266,竹ノ塚駅西口公共駐車場（5：00~23：50）       
2270,セブンイレブン　足立椿2丁目店
2271,セブンイレブン　東堀切3丁目店
2273,セブンイレブン　足立扇2丁目店
2275,セブンイレブン　梅島駅前店
2276,セブンイレブン　足立西新井本町4丁目店
2278,セブンイレブン　足立江北橋東店
2286,セブンイレブン　足立東綾瀬公園店
2287,セブンイレブン　足立綾瀬2丁目店
2327,サイクルベースあさひ北赤羽店
2355,セブンイレブン　江戸川葛西駅西店
2356,セブンイレブン　江戸川東葛西2丁目店
2357,セブンイレブン　江戸川東葛西5丁目西店
2358,セブンイレブン　江戸川中葛西3丁目西店
2359,セブンイレブン　江戸川中葛西8丁目店
2360,セブンイレブン　葛西駅東店
2361,セブンイレブン　江戸川南葛西左近通り店
2362,セブンイレブン　板橋赤塚5丁目店
2363,セブンイレブン　板橋成増3丁目店
2364,セブンイレブン　新高島平駅前店
2365,セブンイレブン　板橋高島平1丁目西店
2425,セブンイレブン　板橋赤塚2丁目店
2443,セブンイレブン　武蔵野台駅南口店
2444,セブンイレブン　府中分梅店
2445,セブンイレブン　府中押立町4丁目店
2446,セブンイレブン　府中分梅通り店
2447,セブンイレブン　府中栄町3丁目店
2449,セブンイレブン　調布インター南店
2453,セブンイレブン　小金井前原町5丁目店
2494,セブンイレブン　府中是政1丁目店
2522,サイクルベースあさひ北千住店
2533,セブンイレブン　府中駅北口店
2536,セブンイレブン　新小平駅前店
2539,ダイシャリン竹ノ塚店
2540,セブンイレブン　三鷹大沢6丁目店
2579,EXTLUX
2691,デニーズ　高島平店
2692,デニーズ　奥戸店
2866,アーバンテラス　上石神井
2938,デニーズ　千歳船橋店
2939,デニーズ　本一色店
2940,デニーズ　野方店
2992,デニーズ　梅島店
2993,デニーズ　北池袋店
2994,デニーズ　成城店
3062,デニーズ　世田谷公園店
3067,デニーズ　大森北店
3080,サイクルベースあさひ小平店
3081,サイクルベースあさひ国分寺店
3091,ヨークプライス　西新井店
3118,デニーズ　小茂根店
3119,デニーズ　大森中店
3187,セブンイレブン　足立竹ノ塚駅西店
3200,セブンイレブン　台東根岸3丁目店
3202,イトーヨーカドー　四つ木店
3203,イトーヨーカドー　高砂店
3257,ファミリーマート　世田谷成城通り店
3258,ファミリーマート　船橋希望丘通り店
3259,ファミリーマート　鎌田水神橋店
3260,ファミリーマート　用賀の杜店
3261,ファミリーマート　246世田谷桜新町店
3262,ファミリーマート　世田谷教育会館前店
3263,ファミリーマート　三軒茶屋駅前店
3264,ファミリーマート　世田谷等々力通り店
3265,ファミリーマート　等々力四丁目店
3267,セブンイレブン　足立青井1丁目店
3268,セブンイレブン　葛飾新柴又駅前店
3269,セブンイレブン　足立青井5丁目店
3270,セブンイレブン　足立一ツ家2丁目店
3271,セブンイレブン　足立一ツ家3丁目店
3290,デニーズ　調布店
3316,あらかわ遊園スポーツハウス
3317,西尾久四丁目北公園
3318,日暮里南公園
3319,日暮里公園
3320,西日暮里一丁目広場
3321,あらかわエコセンター
3322,荒川区役所
3323,生涯学習センター
3324,日暮里駅前自転車駐車場
3325,ゆいの森あらかわ
3326,町屋駅前
3327,尾竹橋公園
3328,荒川自然公園
3329,天王公園
3330,南千住図書館
3331,南千住駅東口自転車等駐車場
3332,瑞光橋公園
3334,ファミリーマート　中野沼袋2丁目店
3335,ファミリーマート　上板橋3丁目店
3361,多摩六都科学館
3362,小川東第二地域センター
3363,小川西地域センター公園
3364,学園東町地域センター
3365,学園西町地域センター
3366,上水本町地域センター公園
3367,小平市役所
3368,小川町二丁目地域センター
3369,小川町一丁目地域センター
3376,中島地域センター
3377,上水新町地域センター
3378,大沼地域センター公園
3379,花小金井北地域センター
3380,花小金井南地域センター
3381,天神地域センター公園
3382,御幸地域センター公園
3383,鈴木地域センター公園
3389,ファミリーマート　まるいし八幡山店
3390,ファミリーマート　中野本町五丁目店
3391,ファミリーマート　中野中央一丁目店
3392,ファミリーマート　西ヶ原4丁目店
3404,セブンイレブン　台東東浅草1丁目店
3405,セブンイレブン　新御徒町駅前店
3415,ジョイフル多摩川
3418,ファミリーマート　西伊興4丁目店
3419,ファミリーマート　六木2丁目店
3420,ファミリーマート　加平インター店
3421,ファミリーマート　足立舎人1丁目店
3422,ファミリーマート　梅田4丁目店
3423,ファミリーマート　奥戸7丁目店
3427,セブンイレブン　板橋舟渡1丁目店
3429,セブンイレブン　板橋清水町東店
3439,ヨークフーズ　早稲田店
3476,ファミリーマート　墨田亀沢4丁目店
3477,ファミリーマート　花やしき遊園地前店
3479,ファミリーマート　阿佐谷北6丁目店
3480,ファミリーマート　中野中央5丁目店
3485,アップルパーク調布駅第1駐輪場
3487,PAL蔵前
3491,ファミリーマート　東綾瀬1丁目店
3492,ファミリーマート　六木4丁目店
3493,ファミリーマート　南花畑4丁目店
3494,ファミリーマート　西新井2丁目店
3495,ファミリーマート　江北2丁目店
3496,ファミリーマート　足立宮城1丁目店
3497,ファミリーマート　赤羽北3丁目店
3498,ファミリーマート　板橋大谷口北町店
3500,ファミリーマート　中野弥生町2丁目店
3525,ファミリーマート　板橋3丁目店
3526,ファミリーマート　南千住5丁目店
3527,ファミリーマート　堀切6丁目店
3528,ファミリーマート　奥戸5丁目店
3531,第一池田ビル
3533,REID C Monzennakacho bldg.
3534,イトーヨーカドー　国領店
3535,イトーヨーカドー　大森店
3540,ファミリーマート　小岩サンロード店
3542,ファミリーマート　江戸川篠崎街道店
3544,ファミリーマート　鹿骨2丁目店
3545,ファミリーマート　春江町2丁目店
3546,ファミリーマート　江戸川松江3丁目店
3547,ファミリーマート　江戸川船堀店
3548,ファミリーマート　第三葛西小前店
3549,ファミリーマート　西葛西小学校前店
3572,セブンイレブン　台東寿1丁目店
3576,板橋区立下赤塚駅前集会所
3577,板橋区赤塚庁舎
3578,高島平駅南口②
3579,西高島平駅前自転車駐車場
3580,高島平駅南口①
3581,成増東歩道橋高架下
3582,セブンイレブン　上野桜木2丁目店
3583,ファミリーマート　足立東綾瀬1丁目店
3585,ファミリーマート　南花畑店
3586,ファミリーマート　足立平野店
3587,ファミリーマート　足立青井店
3588,ファミリーマート　西新井3丁目店
3589,ファミリーマート　江北3丁目店
