id,min,max,mean
393,-10,0,-5.0
400,-10,30,10.0
401,-10,30,10.0
408,-10,10,0.0
409,-10,20,5.0
1412,-10,0,-5.0
1931,-10,20,5.0
2217,-10,10,0.0
2432,10,50,30.0
2456,10,40,25.0
2505,-10,0,-5.0
2550,-10,20,5.0
2551,-10,90,40.0
2552,-10,30,10.0
2620,-10,10,0.0
2724,-10,10,0.0
2727,-10,10,0.0
2729,-10,0,-5.0
2732,-10,10,0.0
2733,0,40,20.0
2801,-10,10,0.0
2881,-10,30,10.0
2882,-10,10,0.0
2995,-10,10,0.0
3232,-10,30,10.0
3275,-10,20,5.0
3512,-10,10,0.0
3513,-10,60,25.0
3514,-10,20,5.0
3596,-10,0,-5.0
3674,-10,70,30.0
3812,-10,100,45.0
3834,-10,100,45.0
4090,-10,0,-5.0
4091,-10,20,5.0
4092,-10,0,-5.0
4150,-10,10,0.0
4151,-10,0,-5.0
4487,-10,0,-5.0
4488,-10,10,0.0
4812,-10,10,0.0
4940,0,100,50.0
4941,0,20,10.0
5063,-10,0,-5.0
5064,-10,0,-5.0
5065,-10,0,-5.0
5066,-10,0,-5.0
5067,-10,10,0.0
5068,-10,30,10.0
5069,-10,30,10.0
5070,-10,20,5.0
5082,-10,30,10.0
5304,-10,10,0.0
5418,-10,70,30.0
5419,-10,90,40.0
5421,-10,110,50.0
5422,-10,90,40.0
5425,-10,10,0.0
5426,-10,30,10.0
5427,-10,20,5.0
5428,-10,0,-5.0
5429,-10,90,40.0
5430,-10,60,25.0
5431,-10,0,-5.0
5451,-10,10,0.0
5525,-10,40,15.0
5603,-10,10,0.0
5604,-10,10,0.0
5605,-10,80,35.0
5606,-10,10,0.0
5613,-10,130,60.0
5621,-10,20,5.0
5622,-10,20,5.0
5623,-10,20,5.0
5624,-10,30,10.0
5625,-10,30,10.0
5626,-10,30,10.0
5627,-10,10,0.0
5628,-10,10,0.0
5630,-10,30,10.0
5632,-10,30,10.0
5664,-10,60,25.0
5665,-10,40,15.0
5666,-10,30,10.0
5667,-10,10,0.0
5756,-10,10,0.0
5851,-10,10,0.0
6044,-10,120,55.0
6045,-10,120,55.0
6046,-10,130,60.0
6047,-10,130,60.0
6048,-10,130,60.0
6465,-10,80,35.0
6510,-10,70,30.0
6566,-10,10,0.0
6614,-10,30,10.0
6615,-10,0,-5.0
6617,-10,20,5.0
6618,-10,30,10.0
6619,-10,30,10.0
7076,-10,0,-5.0
7088,-10,10,0.0
7089,-10,0,-5.0
7228,-10,20,5.0
7326,-10,0,-5.0
7332,-10,20,5.0
7333,-10,100,45.0
7334,-10,100,45.0
7335,-10,0,-5.0
7336,-10,30,10.0
7369,-10,0,-5.0
7428,-10,130,60.0
7429,-10,130,60.0
7430,-10,130,60.0
7431,-10,130,60.0
7432,-10,130,60.0
7433,-10,130,60.0
7434,-10,120,55.0
7435,-10,120,55.0
7436,-10,0,-5.0
7437,-10,0,-5.0
7438,-10,140,65.0
7444,-10,20,5.0
7480,-10,0,-5.0
7481,-10,0,-5.0
7482,-10,140,65.0
7504,-10,100,45.0
7624,-10,10,0.0
7668,-10,130,60.0
7776,-10,10,0.0
7777,-10,20,5.0
7778,-10,30,10.0
7831,-10,110,50.0
8014,-10,10,0.0
8015,-10,10,0.0
9514,-10,10,0.0
9557,-10,10,0.0
9728,-10,10,0.0
9739,0,120,60.0
9828,-10,0,-5.0
9914,0,120,60.0
9940,-10,30,10.0
