id,weight
393,3.84
400,4.74
401,4.71
408,4.77
409,4.44
1412,4.65
1931,4.24
2217,1.28
2432,0.23
2456,0.19
2505,0.19
2550,2.45
2551,1.16
2552,3.1
2620,4.87
2724,4.03
2727,4.89
2729,4.67
2732,4.12
2733,3.76
2801,4.46
2881,2.46
2882,4.74
2995,4.6
3232,1.96
3275,3.21
3512,2.03
3513,2.73
3514,2.16
3596,1.88
3674,0.29
3812,1.32
3834,2.79
4090,1.51
4091,0.09
4092,1.66
4150,1.78
4151,0.26
4487,0.16
4488,4.55
4812,0.09
4940,2.46
4941,4.02
5063,4.55
5064,4.73
5065,4.84
5066,5.03
5067,5.0
5068,4.75
5069,4.71
5070,4.19
5082,3.18
5304,4.66
5418,2.53
5419,2.85
5421,2.86
5422,3.04
5425,2.18
5426,2.33
5427,3.44
5428,1.77
5429,2.98
5430,2.94
5431,3.12
5451,4.18
5525,2.75
5603,5.0
5604,4.55
5605,2.66
5606,4.9
5613,2.51
5621,2.68
5622,2.63
5623,2.62
5624,3.38
5625,3.4
5626,3.4
5627,4.07
5628,4.86
5630,4.72
5632,4.85
5664,2.9
5665,2.74
5666,2.6
5667,3.95
5756,4.55
5851,4.78
6044,2.63
6045,2.57
6046,2.52
6047,2.4
6048,2.35
6465,2.76
6510,2.83
6566,3.12
6614,4.73
6615,5.05
6617,4.6
6618,3.78
6619,3.41
7076,4.68
7088,4.35
7089,4.7
7228,4.22
7326,0.22
7332,4.52
7333,2.58
7334,2.59
7335,3.61
7336,4.5
7369,2.98
7428,2.14
7429,2.32
7430,2.14
7431,2.35
7432,2.27
7433,2.11
7434,2.42
7435,2.43
7436,1.35
7437,1.3
7438,0.27
7444,4.78
7480,1.86
7481,1.35
7482,2.15
7504,2.8
7624,2.35
7668,2.3
7776,4.77
7777,3.58
7778,4.48
7831,0.22
8014,3.47
8015,4.87
9514,4.76
9557,1.62
9728,3.37
9739,2.09
9828,0.45
9914,2.23
9940,3.8
