id,min,max,mean
436,0,20,10.0
446,-20,10,-2.857142857142857
449,-20,0,-10.0
450,-20,0,-10.0
451,-20,0,-10.0
494,-10,0,-5.0
495,-10,0,-5.0
500,-20,10,-5.0
663,-20,0,-10.0
664,-20,10,-5.0
665,-20,10,-5.0
672,-20,0,-10.0
674,10,30,20.0
679,-20,20,0.0
684,10,50,30.0
686,-10,0,-5.0
687,0,10,5.0
860,-10,10,0.0
861,-20,0,-10.0
862,-20,0,-10.0
863,-10,0,-5.0
864,-10,10,0.0
865,-10,20,5.0
866,-10,20,5.0
869,0,30,15.0
870,10,50,30.0
871,-20,0,-10.0
872,-20,0,-10.0
874,-20,0,-10.0
875,-20,0,-10.0
876,-30,0,-15.0
893,10,60,35.0
894,10,50,30.0
896,0,20,10.0
897,0,30,15.0
898,-20,10,-5.0
899,-20,20,0.0
900,10,50,30.0
906,0,60,30.0
913,-20,0,-10.0
1361,-10,10,0.0
1362,0,30,15.0
1364,-30,10,-10.0
1365,-30,0,-15.0
1369,10,40,25.0
1370,0,20,10.0
1391,-20,10,-5.0
1392,-10,10,0.0
1393,-10,10,0.0
1395,-30,0,-15.0
1396,-30,0,-15.0
1413,-20,10,-5.0
1415,-20,-10,-15.0
1416,-10,10,0.0
1417,-20,0,-10.0
1419,-20,0,-10.0
1423,0,20,10.0
1428,-30,0,-15.0
1512,-30,0,-15.0
1513,-10,10,0.0
1514,-10,10,0.0
1515,10,60,35.0
1518,-20,0,-10.0
1675,-10,10,0.0
1676,-30,0,-15.0
1677,0,20,10.0
1678,0,30,15.0
1682,20,60,40.0
1683,0,10,5.0
1684,-20,0,-10.0
1694,-20,0,-10.0
1787,-60,-10,-35.0
1790,-20,0,-10.0
1791,-10,10,0.0
1874,-20,10,-5.0
1929,-20,0,-10.0
1930,10,70,40.0
2372,-20,0,-10.0
2448,-10,10,0.0
2450,-10,40,15.0
2452,-20,0,-10.0
2468,-20,10,-5.0
2491,-20,0,-10.0
2492,-20,10,-5.0
2493,-10,10,0.0
2541,-20,0,-10.0
2542,-10,20,5.0
2543,-10,10,0.0
2544,-30,20,-5.0
2572,-20,10,-5.0
2573,-20,0,-10.0
2574,-10,10,0.0
2575,-10,0,-5.0
2576,-10,10,0.0
2577,-10,10,0.0
2578,-10,10,0.0
2619,-30,0,-15.0
2639,-20,40,10.0
2642,-20,10,-5.0
2643,-20,10,-5.0
2644,0,40,20.0
2725,-20,10,-5.0
