id,name
436,セブンイレブン　横浜荏田町店
446,セブンイレブン　川崎久末店
449,セブンイレブン　川崎鋼管通店
450,セブンイレブン　川崎小田店
451,セブンイレブン　川崎藤崎店
494,セブンイレブン　横浜星川駅南店
495,セブンイレブン　横浜帷子町2丁目店
500,セブンイレブン　川崎宇奈根店
663,セブンイレブン　横浜樽町店
664,セブンイレブン　横浜日吉1丁目店
665,セブンイレブン　横浜高田東3丁目店
672,セブンイレブン　横浜新吉田東3丁目店
674,セブンイレブン　横浜美しが丘5丁目店
679,セブンイレブン　横浜鶴見東寺尾3丁目店
684,セブンイレブン　横浜阿久和西店
686,セブンイレブン　川崎小杉陣屋町2丁目店
687,セブンイレブン　川崎津田山店
860,セブンイレブン　川崎高津諏訪店
861,セブンイレブン　川崎中原市ノ坪店
862,セブンイレブン　川崎井田2丁目店
863,セブンイレブン　川崎下小田中1丁目店
864,セブンイレブン　武蔵中原駅前店
865,セブンイレブン　川崎二子店
866,セブンイレブン　川崎二子6丁目店
869,セブンイレブン　川崎有馬6丁目店
870,セブンイレブン　川崎菅生2丁目店
871,セブンイレブン　新横浜1丁目店
872,セブンイレブン　横浜綱島東2丁目店
874,セブンイレブン　川崎渡田3丁目店
875,セブンイレブン　川崎四谷上町北店
876,セブンイレブン　川崎元木1丁目店
893,セブンイレブン　川崎犬蔵3丁目店
894,セブンイレブン　川崎東長澤店
896,セブンイレブン　川崎布田店
897,セブンイレブン　川崎菅野戸呂店
898,セブンイレブン　川崎長尾橋店
899,セブンイレブン　川崎宿河原店
900,セブンイレブン　川崎菅生1丁目店
906,セブンイレブン　横浜港南台9丁目店
913,トレッサ横浜
1361,セブンイレブン　川崎坂戸2丁目店
1362,セブンイレブン　川崎平4丁目店
1364,セブンイレブン　川崎駅北店
1365,セブンイレブン　川崎南加瀬3丁目店
1369,セブンイレブン　横浜鶴ヶ峰本町南店
1370,セブンイレブン　川崎馬絹西店
1391,セブンイレブン　川崎木月祗園町店
1392,セブンイレブン　川崎高津野川店
1393,セブンイレブン　川崎子母口東店
1395,セブンイレブン　川崎浮島通り店
1396,セブンイレブン　川崎大師駅北店
1413,セブンイレブン　川崎溝口3丁目店
1415,セブンイレブン　川崎鋼管通4丁目店
1416,セブンイレブン　川崎下野毛3丁目店
1417,セブンイレブン　川崎小田7丁目店
1419,セブンイレブン　横浜樽町4丁目店
1423,セブンイレブン　横浜日の森店
1428,セブンイレブン　川崎市電通り店
1512,セブンイレブン　川崎ガス橋通り店
1513,セブンイレブン　川崎野川東店
1514,セブンイレブン　川崎新作店
1515,セブンイレブン　川崎長沢4丁目店
1518,セブンイレブン　横浜日吉宮前店
1675,セブンイレブン　川崎野川くぬぎ坂店
1676,セブンイレブン　川崎市ノ坪南店
1677,セブンイレブン　川崎東有馬店
1678,セブンイレブン　川崎神木本町1丁目店
1682,セブンイレブン　横浜瀬谷5丁目店
1683,セブンイレブン　横浜戸塚矢部店
1684,セブンイレブン　横浜鶴見二ツ池店
1694,セブンイレブン　川崎追分店
1787,セブンイレブン　横浜南太田駅前店
1790,セブンイレブン　横浜駒岡3丁目店
1791,セブンイレブン　川崎諏訪店
1874,セブンイレブン　川崎新丸子東2丁目店
1929,デニーズ　綱島東店
1930,デニーズ　川崎菅生店
2372,ピーチビラＥ
2448,イトーヨーカドー　横浜別所店
2450,イトーヨーカドー　能見台店
2452,イトーヨーカドー　川崎店
2468,グランツリー　武蔵小杉店
2491,セブンイレブン　横浜樽町2丁目店
2492,セブンイレブン　横浜新吉田東1丁目店
2493,セブンイレブン　川崎大ヶ谷戸店
2541,デニーズ　横浜樽町店
2542,デニーズ　横浜日野店
2543,デニーズ　高津店
2544,デニーズ　鶴見一国店
2572,丸子橋付近
2573,等々力ポンプ場向かい
2574,等々力桜並木沿い
2575,宮内歩道橋下
2576,北見方歩道橋下
2577,諏訪歩道橋下
2578,多摩川緑地バーベキュー広場付近
2619,セブンイレブン　川崎大師駅前2丁目店
2639,セブンイレブン　川崎久末団地店
2642,イトーヨーカドー　綱島店①
2643,イトーヨーカドー　綱島店②
2644,イトーヨーカドー　立場店
2725,メイテンコーポレーション
2771,ペプチドリーム株式会社
2772,小島新田駅第2駐輪場
2773,大師橋駅周辺第1駐輪場
2774,大師橋駅周辺第2駐輪場
2794,サイクルベースあさひ川崎池田店
2803,生田緑地
2805,緑化センター西門周辺
2807,宿河原本村公園
2808,登戸駅前広場
2809,向ヶ丘遊園駅前
2810,向ヶ丘遊園駅第9駐輪場
2811,向ヶ丘遊園駅第8駐輪場
2812,登戸駅第6駐輪場
2813,多摩区役所
2814,二ヶ領せせらぎ館周辺
2815,中野島中央公園
2821,殿町第2公園
2822,大師河原公園
2823,国立医薬品食品衛生研究所
2886,湘南モノレール　片瀬山駅
2887,湘南モノレール　目白山下駅
2888,逗子マリーナ
2890,デニーズ　大船笠間店
2891,デニーズ　江ノ島店
2892,セブンイレブン　川崎中野島4丁目店
2893,セブンイレブン　川崎三田1丁目店
2932,ヨークフーズ　上大岡店
2933,セブンイレブン　川崎小田栄1丁目店
2979,登戸第2公園
2980,登戸台和公園
2981,公益社団法人日本アイソトープ協会
3020,モアナマカイ　珊瑚礁【営業時間11：30～21：00】
3025,セブンイレブン　川崎宿河原4丁目店
3095,住吉名店センター
3115,セブンイレブン　川崎井田三舞町店
3138,生田緑地西口展望広場前
3139,専修大学10号館前
3140,向ヶ丘遊園駅第1駐輪場
3141,出来野公園
3142,小島新田公園
3143,小島新田駅第3駐輪場
3233,桜山中央公園
3234,第一運動公園駐輪場①
3236,披露山公園駐車場
3237,逗子市役所
3281,デニーズ　南加瀬店
3385,円覚寺　佛日庵
3386,逗子市立体育館　逗子アリーナ
3406,セブンイレブン　川崎上小田中1丁目店
3412,フジサワ名店ビル　駐輪場
3414,上新城コインパーキング
3445,江の島西緑地駐輪スペース
3446,藤沢市庁舎
3447,藤沢土木事務所汐見台庁舎
3448,小和田浜公園
3449,茅ヶ崎市立図書館
3450,茅ヶ崎公園（野球場）
3451,柳島スポーツ公園
3452,馬入ふれあい公園
3453,平塚市総合公園
3454,平塚市文化公園
3455,八重咲町第1駐輪場
3456,ひらつかタマ三郎漁港（新港）
3457,デニーズ　六会店
3458,デニーズ　茅ヶ崎海岸店
3486,逗子市新宿会館
3489,セブンイレブン　川崎小川町店
3529,ファミリーマート　下永谷店
3530,ファミリーマート　上永谷2丁目店
3536,デニーズ　藤沢駅北口店
3537,デニーズ　片瀬山店
3538,デニーズ　片倉町店
3605,東急REIホテル
3612,ウィークエンドハウスアレイ
3613,ファミリーマート　日吉6丁目店
3614,ファミリーマート　サンズ新吉田店
3615,ファミリーマート　港北篠原町店
3616,ファミリーマート　サンズ戸塚深谷町店
3617,ファミリーマート　港南台3丁目店
3624,花菜ガーデン
3625,開高健記念館
3626,八部公園
3627,秩父宮記念体育館
3657,ホーユウコンフォルト神奈川新町
3663,龍口寺
3668,ファミリーマート　早渕2丁目店
3669,ファミリーマート　港南下永谷6丁目店
3670,ファミリーマート　サンズすみれが丘南店
3704,デニーズ　平塚中里店
3705,デニーズ　長者町店
3750,ファミリーマート　横浜東高校前店
3751,ファミリーマート　東寺尾中台店
3753,ファミリーマート　鶴見上末吉店
3754,ファミリーマート　鶴見環状2号店
3755,ファミリーマート　港北大倉山店
3756,ファミリーマート　港北新吉田店
3757,ファミリーマート　都筑大棚町店
3758,ファミリーマート　スリーウェル茅ヶ崎東店
3759,ファミリーマート　下瀬谷2丁目店
3761,ファミリーマート　今宿東町店
3762,ファミリーマート　冨士屋新子安西口店
3763,ファミリーマート　横浜神大寺3丁目店
3764,ファミリーマート　横浜羽沢町綿打店
3765,ファミリーマート　スリーウェル新横浜店
3793,ファミリーマート　江ヶ崎町店
3794,ファミリーマート　鶴見荒立店
3796,ファミリーマート　横浜青木町店
3797,ファミリーマート　横浜コットンハーバー店
3798,ファミリーマート　井土ヶ谷駅前店
3799,ファミリーマート　今宿西町店
3800,ファミリーマート　横浜権太坂店
3801,ファミリーマート　川和町店
3802,ファミリーマート　センター北駅前店
3803,サンパレス前
3810,パレール川崎（食品館あおば館前）
3857,KDXレジデンス宮前平
3860,テラスモール湘南
3869,ファミリーマート　鶴見宮ノ下店
3870,ファミリーマート　三ツ沢上町駅前店
3871,ファミリーマート　白山2丁目店
3872,ファミリーマート　鎌倉御成町店
3880,セブンイレブン　鎌倉七里ガ浜店
3884,ファミリーマート　六会日大駅前店
3885,ファミリーマート　湘南東海岸店
3912,ファミリーマート　西八朔町店
3913,ファミリーマート　十日市場店
3914,ファミリーマート　瀬谷相沢店
3915,ファミリーマート　横浜希望ヶ丘店
3916,ファミリーマート　さちが丘店
3917,ファミリーマート　鶴ヶ峰店
3918,ファミリーマート　市沢町店
3919,ファミリーマート　サンズ丸山台3丁目店
3920,ファミリーマート　横浜公田町店
3935,湘南モノレール　富士見町駅
3936,東逗子ふれあい広場
3955,エテルニダージ
4010,錦町第2自転車駐車場
4011,平塚駅西口第3駐輪場
4027,デニーズ　平塚海岸店
4028,ヨコハマスマートパーキング　緑園都市西口
4032,ファミリーマート　茅ヶ崎東海岸北店
4033,ファミリーマート　茅ヶ崎小和田3丁目店
4034,ファミリーマート　藤沢石川5丁目店
4035,ファミリーマート　藤沢円行店
4036,ファミリーマート　中白根店
4037,ファミリーマート　鶴見旭台店
4045,本牧マクブライドの杜
4071,ファミリーマート　湘南ライフタウン店
4072,ファミリーマート　藤沢稲荷店
4073,ファミリーマート　羽鳥5丁目店
4074,ファミリーマート　茅ヶ崎サザン通り店
4075,ファミリーマート　茅ヶ崎中島北店
4083,風早茶房
4088,湘南モールフィル①
4089,湘南モールフィル②
4125,クリエイトエスディ－　藤沢片瀬店
4145,ファミリーマート　アスロード鶴見向井町店
4174,ファミリーマート　鶴見中央3丁目店
4175,ファミリーマート　瀬谷卸本町店
4180,クリエイトエスディ－　鵠沼神明店
4181,茅ヶ崎東海岸商店会　駐車場
4200,ヨークマート　東逗子店
4201,沼間2丁目ポケットパーク
4210,イトーヨーカドー　湘南台店
4211,イトーヨーカドー　藤沢店
4224,OSC湘南シティ 西側駐輪場
4225,OSC湘南シティ 南側駐輪場
4226,ファミリーマート　獅子ヶ谷2丁目店
4241,葉山うみのホテル
4263,ファミリーマート　新横浜3丁目店
4264,ファミリーマート　横浜都筑池辺町店
4268,ファミリーマート　湘南松尾店
4269,ファミリーマート　藤沢大庭店
4270,ファミリーマート　鎌倉長谷店
4271,ファミリーマート　鎌倉二の鳥居店
4276,逗子駅西駐輪場
4283,MFLP川崎
4307,MrMax湘南藤沢ショッピングセンター①
4308,MrMax湘南藤沢ショッピングセンター②
4313,KAMAKURA DEL COSTA
4314,ZUSHI BEACH HOUSE
4322,セブンイレブン　横浜鶴見大学前店
4328,セブンイレブン　逗子5丁目店
4333,ピア湘南夕陽ヶ丘
4334,三井ショッピングパークららぽーと湘南平塚　自転車置場西
4347,逗子 魚勝
4355,鈴川東橋
4356,平塚市中央公民館
4357,平塚市美術館
4360,プリエール
4432,セブンイレブン　横浜鶴見駅西店
4433,セブンイレブン　川崎下新城2丁目店
4460,セブンイレブン　川崎木月大町店
4461,セブンイレブン　川崎宮内4丁目店
4484,逗子・葉山駅前駐輪場
4485,逗子・葉山駅前第2駐輪場
4486,神武寺駅前駐輪場
4494,ヨコハマスマートパーキング　横浜神奈川入江
