id,weight
436,2.39
446,6.19
449,4.71
450,4.45
451,4.68
494,1.26
495,1.09
500,5.05
663,4.68
664,6.23
665,4.45
672,3.91
674,2.98
679,3.75
684,1.24
686,5.6
687,6.46
860,5.62
861,5.7
862,6.55
863,6.66
864,6.59
865,6.11
866,6.17
869,4.19
870,4.6
871,3.09
872,5.6
874,5.51
875,3.43
876,6.01
893,4.66
894,3.94
896,2.24
897,1.32
898,5.93
899,5.91
900,4.98
906,1.12
913,5.27
1361,6.41
1362,6.0
1364,6.0
1365,6.55
1369,1.13
1370,5.92
1391,6.57
1392,5.09
1393,6.6
1395,2.76
1396,4.02
1413,6.07
1415,4.22
1416,5.9
1417,4.02
1419,5.29
1423,0.6
1428,5.58
1512,5.28
1513,6.24
1514,6.73
1515,3.4
1518,6.48
1675,6.0
1676,5.76
1677,4.57
1678,6.4
1682,1.33
1683,0.69
1684,5.49
1694,5.03
1787,1.01
1790,5.94
1791,5.5
1874,5.08
1929,5.55
1930,4.68
2372,5.29
2448,1.17
2450,0.53
2452,4.68
2468,5.8
2491,4.83
2492,4.3
2493,6.46
2541,4.97
2542,1.26
2543,6.17
2544,3.88
2572,4.45
2573,4.84
2574,5.27
2575,5.43
2576,5.4
2577,5.25
2578,5.18
2619,4.33
2639,5.09
2642,4.77
2643,4.83
2644,0.82
2725,6.3
2771,1.6
2772,2.3
2773,2.86
2774,2.86
2794,5.91
2803,5.28
2805,5.7
2807,5.59
2808,4.77
2809,4.89
2810,5.06
2811,4.74
2812,4.31
2813,4.57
2814,4.8
2815,3.21
2821,2.02
2822,2.89
2823,1.78
2886,3.86
2887,3.62
2888,2.69
2890,1.27
2891,3.17
2892,3.5
2893,3.88
2932,1.2
2933,4.9
2979,4.11
2980,3.68
2981,1.67
3020,2.55
3025,5.36
3095,6.31
3115,6.65
3138,4.86
3139,4.71
3140,4.88
3141,2.64
3142,2.23
3143,2.37
3233,2.15
3234,2.49
3236,3.04
3237,2.96
3281,6.56
3385,1.87
3386,2.64
3406,6.54
3412,4.8
3414,6.59
3445,2.12
3446,4.67
3447,2.28
3448,2.19
3449,2.06
3450,1.82
3451,2.24
3452,2.66
3453,2.41
3454,2.64
3455,2.7
3456,2.16
3457,1.84
3458,1.8
3486,2.94
3489,6.22
3529,1.12
3530,1.27
3536,4.79
3537,4.53
3538,2.26
3605,1.89
3612,2.51
3613,6.27
3614,3.3
3615,3.42
3616,0.72
3617,1.22
3624,0.61
3625,1.85
3626,4.17
3627,4.75
3657,2.32
3663,3.35
3668,2.78
3669,0.96
3670,3.24
3704,2.14
3705,0.75
3750,4.04
3751,4.86
3753,6.35
3754,6.3
3755,3.74
3756,3.32
3757,2.26
3758,1.71
3759,1.2
3761,1.36
3762,2.65
3763,2.27
3764,1.83
3765,2.69
3793,6.52
3794,3.94
3796,1.98
3797,1.88
3798,1.05
3799,1.43
3800,0.88
3801,1.05
3802,2.4
3803,6.63
3810,6.02
3857,6.28
3860,3.64
3869,5.86
3870,1.88
3871,1.1
3872,2.66
3880,2.46
3884,1.95
3885,3.8
3912,0.91
3913,0.87
3914,1.5
3915,1.25
3916,1.19
3917,1.01
3918,0.72
3919,1.35
3920,1.23
3935,2.26
3936,2.07
3955,1.0
4010,2.7
4011,2.73
4027,2.34
4028,0.81
4032,2.09
4033,3.15
4034,1.78
4035,1.72
4036,1.22
4037,5.7
4045,0.18
4071,2.61
4072,4.08
4073,4.64
4074,2.03
4075,2.47
4083,1.8
4088,4.65
4089,4.6
4125,4.74
4145,4.23
4174,4.99
4175,1.0
4180,4.68
4181,2.03
4200,2.23
4201,2.16
4210,1.62
4211,4.79
4224,2.8
4225,2.76
4226,5.47
4241,2.05
4263,3.44
4264,1.04
4268,2.22
4269,2.96
4270,2.73
4271,2.65
4276,3.05
4283,5.29
4307,4.59
4308,4.55
4313,3.13
4314,3.05
4322,4.58
4328,2.87
4333,2.59
4334,2.65
4347,3.11
4355,0.97
4356,2.67
4357,2.56
4360,2.66
4432,4.97
4433,6.69
4460,6.43
4461,6.28
4484,2.89
4485,2.87
4486,2.46
4494,2.99
4495,5.6
4496,6.48
4777,1.57
4778,1.58
4779,2.78
4780,4.77
4820,6.01
4894,2.9
4897,6.05
4898,6.57
4899,6.14
4933,6.42
4934,0.75
4935,1.19
4936,1.26
4938,1.41
4969,2.05
4971,4.16
5000,5.7
5006,2.72
5007,3.13
5011,5.85
5013,2.3
5014,6.12
5017,4.87
5030,6.63
5031,6.52
5042,0.72
5074,2.8
5077,2.99
5095,2.02
5104,2.95
5105,6.28
5106,2.77
5107,2.78
5113,1.81
5114,4.31
5129,3.68
5130,1.95
5133,3.08
5134,3.97
5143,1.29
5153,3.58
5154,2.55
5156,2.11
5180,2.79
5182,3.64
5183,3.18
5239,3.31
5307,3.18
5308,3.5
5309,5.77
5310,4.38
5311,4.55
5333,4.44
5334,4.57
5335,5.01
5336,5.01
5337,4.54
5338,6.42
5347,6.61
5350,3.1
5351,1.38
5378,1.43
5379,2.87
5381,1.16
5414,3.05
5415,2.94
5416,1.99
5434,5.31
5453,3.02
5454,2.39
5455,2.17
5456,2.29
5457,2.05
5462,6.45
5501,4.71
5502,3.77
5507,5.5
5538,1.36
5553,2.44
5561,2.7
5562,0.62
5563,0.61
5594,1.09
5597,3.09
5598,0.87
5609,1.73
5637,3.46
5638,5.09
5639,4.55
5650,2.33
5651,2.11
5658,5.97
5699,4.74
5706,3.86
5707,6.59
5815,3.26
5816,4.84
5817,4.82
5818,4.65
5819,4.16
5820,2.69
5821,2.69
5828,6.62
5835,4.7
5847,2.48
5861,6.7
5864,2.7
5865,2.33
5866,1.01
5867,1.09
5868,0.64
5869,0.69
5870,0.61
5871,3.84
5928,6.57
5998,6.06
5999,6.08
6001,5.99
6002,4.81
6003,5.54
6005,6.14
6006,6.13
6007,6.06
6008,5.62
6009,5.6
6010,5.66
6011,5.54
6012,5.37
6013,6.19
6014,6.67
