id,min,max,mean
1819,510,540,525.0
1840,490,520,505.0
1841,580,680,630.0
1842,540,600,570.0
2247,500,510,505.0
2248,540,620,580.0
2249,530,560,545.0
2251,560,600,580.0
2736,570,580,575.0
2737,570,590,580.0
2738,570,590,580.0
2743,570,590,580.0
2744,570,590,580.0
2745,570,590,580.0
2746,570,590,580.0
2747,570,590,580.0
2748,570,590,580.0
2749,570,590,580.0
2750,570,590,580.0
2751,570,590,580.0
2845,570,590,580.0
2846,570,590,580.0
2847,570,590,580.0
3158,580,850,715.0
3159,500,530,515.0
3276,520,550,535.0
3277,540,560,550.0
3303,570,590,580.0
3304,570,590,580.0
3305,570,590,580.0
3306,570,580,575.0
3307,570,580,575.0
3309,570,600,585.0
3310,570,600,585.0
3597,570,590,580.0
4387,540,650,595.0
4388,560,590,575.0
4389,510,530,520.0
5977,500,520,510.0
6049,570,580,575.0
6050,570,590,580.0
6051,570,590,580.0
7046,600,650,625.0
7144,570,580,575.0
7145,570,580,575.0
7903,510,540,525.0
7919,540,620,580.0
8123,570,590,580.0
9191,570,590,580.0
9877,540,640,590.0
10240,1310,1450,1380.0
10241,1000,1370,1185.0
10242,1310,1440,1375.0
