id,name
1819,JR穂高駅前
1840,JR明科駅前
1841,国営アルプスあづみの公園
1842,安曇野しゃくなげの湯
2247,大王わさび農場
2248,apple＆roses
2249,道の駅「アルプス安曇野　ほりがねの里」
2251,安曇野ちひろ美術館
2736,松本駅北自転車駐車場
2737,松本城
2738,松本駅お城口広場
2743,松本市役所本庁舎
2744,松本城大手門駐車場
2745,喫茶山雅
2746,相澤病院
2747,ホテルブエナビスタ
2748,信毎メディアガーデン
2749,イオンモール松本風庭
2750,イオンモール松本晴庭
2751,イオンモール松本空庭
2845,開智駐車場
2846,松本バスターミナル前
2847,まつもと市民芸術館東
3158,安曇野穂高ビューホテル
3159,安曇野スイス村
3276,JR豊科駅前
3277,豊科南部総合公園
3303,松本城西
3304,クリヴィーレマスタマンション①
3305,クリヴィーレマスタマンション②
3306,松本駅アルプス口広場
3307,北松本駅お城口
3309,花時計公園
3310,あがたの森公園
3597,旧開智学校校舎前
4387,ダイヤモンドあずみ野温泉ホテル
4388,HAMAフラワーパーク安曇野
4389,かじかの里公園
5977,安曇野の里
6049,長野県松本合同庁舎
6050,栞日
6051,菊の湯
7046,浅間温泉ホットプラザ
7144,渚本村公民館
7145,信濃荒井駅
7903,JR安曇追分駅前
7919,信州大学医学部付属病院
8123,松本市美術館
9191,松本駅前記念公園西
9877,キッセイ文化ホール
10240,【臨時ステーション：2022/10/31まで】乗鞍観光センター
10241,【臨時ステーション：2022/10/31まで】乗鞍BASE
10242,【臨時ステーション：2022/10/31まで】一ノ瀬園地 （座望庵駐車場）
