id,weight
1819,0.33
1840,0.13
1841,0.18
1842,0.28
2247,0.33
2248,0.28
2249,0.19
2251,0.01
2736,2.65
2737,2.74
2738,2.68
2743,2.71
2744,2.76
2745,2.74
2746,2.54
2747,2.59
2748,2.77
2749,2.61
2750,2.63
2751,2.59
2845,2.59
2846,2.67
2847,2.68
3158,0.1
3159,0.28
3276,0.26
3277,0.1
3303,2.61
3304,2.77
3305,2.76
3306,2.64
3307,2.55
3309,2.78
3310,2.42
3597,2.51
4387,0.13
4388,0.11
4389,0.3
5977,0.33
6049,1.75
6050,2.73
6051,2.72
7046,1.0
7144,2.28
7145,1.95
7903,0.19
7919,2.06
8123,2.62
9191,2.63
9877,1.6
10240,0.14
10241,0.14
10242,0.14
