id,min,max,mean
689,-10,20,5.0
690,0,20,10.0
691,0,20,10.0
889,10,20,15.0
890,10,20,15.0
1552,0,20,10.0
1780,10,70,40.0
1781,10,20,15.0
1782,10,20,15.0
1783,10,60,35.0
1926,-10,20,5.0
2162,-10,20,8.333333333333334
2388,-10,40,15.0
2389,-10,40,15.0
2394,0,40,20.0
2395,0,30,15.0
2397,0,20,10.0
2398,0,30,15.0
2400,0,20,10.0
2401,0,30,15.0
2402,0,20,10.0
2404,0,30,15.0
2405,0,20,10.0
2407,-10,20,5.0
2529,0,20,10.0
2824,-10,40,15.0
2825,-10,20,5.0
2826,-10,50,20.0
2827,40,60,50.0
2828,-10,60,25.0
2829,40,50,45.0
2896,-10,10,0.0
2897,-10,10,0.0
2898,-10,10,0.0
2900,0,0,0.0
2901,-10,10,0.0
2919,-10,10,0.0
3064,-10,20,5.0
3066,0,20,10.0
3089,0,20,10.0
3090,0,20,10.0
3471,-10,40,15.0
4041,-10,20,5.0
4149,-20,0,-10.0
4315,-10,20,5.0
4316,-20,10,-5.0
4317,-30,0,-15.0
4412,-10,10,0.0
4413,40,80,60.0
4838,-10,0,-5.0
4839,-10,0,-5.0
4841,-10,0,-5.0
4842,-10,10,0.0
4843,-20,20,0.0
4845,-20,20,0.0
4846,-20,10,-5.0
4847,-20,10,-5.0
4848,-20,10,-5.0
4849,-20,20,0.0
4850,-20,20,0.0
4851,-20,20,0.0
4852,-20,20,0.0
4853,-20,20,0.0
4854,-20,20,0.0
4855,-20,10,-5.0
4856,0,0,0.0
4857,-20,20,0.0
4865,-20,30,5.0
4867,0,0,0.0
4868,0,0,0.0
4869,0,0,0.0
4870,-20,30,5.0
4871,0,0,0.0
4872,-20,10,-5.0
4875,-10,20,5.0
4877,-10,20,5.0
4878,-10,0,-5.0
4879,-10,0,-5.0
4880,-10,0,-5.0
4885,-20,20,0.0
4892,-10,0,-5.0
4893,-20,20,0.0
4939,-20,20,0.0
4943,-20,10,-5.0
4944,-10,40,17.272727272727273
4965,-20,20,0.0
4966,-10,0,-5.0
4967,-20,0,-10.0
4968,-20,0,-10.0
5021,0,20,10.0
5032,-20,20,0.0
5033,-20,30,5.0
5034,-20,0,-10.0
5084,0,20,10.0
5116,-10,0,-5.0
5151,-10,10,0.0
5152,-10,10,0.0
5202,-20,10,-5.0
5203,-20,20,0.0
5204,-20,10,-5.0
5205,-10,20,5.0
5206,-10,10,0.0
5208,-10,20,5.0
5209,-10,0,-5.0
5210,-20,10,-5.0
5220,-10,30,10.0
5221,-10,40,15.0
5222,-20,10,-5.0
5223,-20,10,-5.0
5224,-20,10,-5.0
5230,-20,20,0.0
5231,-20,10,-5.0
5232,-20,20,0.0
5282,-20,20,0.0
5283,-10,10,0.0
5285,-30,10,-10.0
5286,-30,10,-10.0
5328,-20,10,-5.0
5329,-30,10,-10.0
5358,-20,10,-5.0
5359,-10,10,0.0
5360,-10,0,-5.0
5361,-20,10,-5.0
5400,-10,20,5.0
5452,-10,10,0.0
5511,-10,20,5.0
5513,-10,10,0.0
5550,-10,40,15.0
5566,-10,10,0.0
5567,-10,10,0.0
5568,0,10,5.0
5591,40,60,50.0
5592,-10,60,25.0
5643,-20,30,5.0
5713,-20,10,-5.0
5907,-20,10,-5.0
5908,-20,20,0.0
6479,0,0,0.0
6508,-20,0,-10.0
6584,10,30,20.0
6585,10,20,15.0
6693,-20,30,5.0
6699,-20,30,5.0
6700,-20,10,-5.0
6701,-20,10,-5.0
6734,-10,20,5.0
6735,-30,10,-10.0
6736,-20,10,-5.0
6737,-20,10,-5.0
6768,-30,0,-15.0
6770,-10,30,10.0
6779,-20,30,5.0
6780,-20,10,-5.0
6781,-30,10,-10.0
6782,-30,0,-15.0
6795,0,20,10.0
6796,-10,0,-5.0
6797,-10,10,0.0
6798,-10,70,30.0
6799,-20,0,-10.0
6800,-10,0,-5.0
6801,-10,0,-5.0
6802,-20,10,-5.0
6804,-10,0,-5.0
6805,-10,10,0.0
6806,-20,20,0.0
6807,-20,20,0.0
