id,min,max,mean
213,-10,0,-5.0
214,-10,0,-5.0
219,-10,0,-5.0
222,-10,0,-5.0
224,-10,0,-5.0
225,-10,40,15.0
228,-10,0,-5.0
231,-10,130,60.0
232,-10,0,-5.0
234,20,290,155.0
235,-10,0,-5.0
236,-10,0,-5.0
238,-10,20,5.0
241,-10,60,25.0
242,-10,0,-5.0
246,-10,10,0.0
248,-10,0,-5.0
252,-10,0,-5.0
1492,-10,0,-5.0
1506,-10,0,-5.0
1546,-10,0,-5.0
1547,-10,20,5.0
1550,-10,10,0.0
1602,-10,0,-5.0
1604,-10,0,-5.0
1607,-10,0,-5.0
1610,-10,0,-5.0
1778,-10,0,-5.0
3283,-10,0,-5.0
3433,-10,0,-5.0
3672,-10,20,5.0
7839,-10,10,0.0
7846,-10,0,-5.0
7847,-10,10,0.0
7848,-10,0,-5.0
8055,-10,0,-5.0
